year,state,state_po,county,candidate,party,candidatevotes,totalvotes
2000,Alabama,AL,Greene,Al Gore,democrat,3504.0,4396
2000,Alabama,AL,Greene,George W. Bush,republican,850.0,4396
2000,Alabama,AL,Greene,Ralph Nader,green,24.0,4396
2000,Alabama,AL,Hale,Al Gore,democrat,4652.0,7731
2000,Alabama,AL,Hale,George W. Bush,republican,2984.0,7731
2000,Alabama,AL,Hale,Ralph Nader,green,43.0,7731
2000,Alabama,AL,Henry,Al Gore,democrat,2782.0,6932
2000,Alabama,AL,Henry,George W. Bush,republican,4054.0,6932
2000,Alabama,AL,Henry,Ralph Nader,green,48.0,6932
2000,Alabama,AL,Houston,Al Gore,democrat,9412.0,32057
2000,Alabama,AL,Houston,George W. Bush,republican,22150.0,32057
2000,Alabama,AL,Houston,Ralph Nader,green,257.0,32057
2000,Alabama,AL,Jackson,Al Gore,democrat,9066.0,17906
2000,Alabama,AL,Jackson,George W. Bush,republican,8475.0,17906
2000,Alabama,AL,Jackson,Ralph Nader,green,184.0,17906
2000,Alabama,AL,Jefferson,Al Gore,democrat,129889.0,273763
2000,Alabama,AL,Jefferson,George W. Bush,republican,138491.0,273763
2000,Alabama,AL,Jefferson,Ralph Nader,green,3393.0,273763
2000,Alabama,AL,Lamar,Al Gore,democrat,2653.0,7249
2000,Alabama,AL,Lamar,George W. Bush,republican,4470.0,7249
2000,Alabama,AL,Lamar,Ralph Nader,green,57.0,7249
2000,Alabama,AL,Lauderdale,Al Gore,democrat,13875.0,32137
2000,Alabama,AL,Lauderdale,George W. Bush,republican,17478.0,32137
2000,Alabama,AL,Lauderdale,Ralph Nader,green,354.0,32137
2000,Alabama,AL,Lawrence,Al Gore,democrat,6296.0,12185
2000,Alabama,AL,Lawrence,George W. Bush,republican,5671.0,12185
2000,Alabama,AL,Lawrence,Ralph Nader,green,63.0,12185
2000,Alabama,AL,Lee,Al Gore,democrat,14574.0,38264
2000,Alabama,AL,Lee,George W. Bush,republican,22433.0,38264
2000,Alabama,AL,Lee,Ralph Nader,green,895.0,38264
2000,Alabama,AL,Limestone,Al Gore,democrat,8992.0,23634
2000,Alabama,AL,Limestone,George W. Bush,republican,14204.0,23634
2000,Alabama,AL,Limestone,Ralph Nader,green,193.0,23634
2000,Alabama,AL,Lowndes,Al Gore,democrat,4557.0,6243
2000,Alabama,AL,Lowndes,George W. Bush,republican,1638.0,6243
2000,Alabama,AL,Lowndes,Ralph Nader,green,18.0,6243
2000,Alabama,AL,Macon,Al Gore,democrat,7665.0,8831
2000,Alabama,AL,Macon,George W. Bush,republican,1091.0,8831
2000,Alabama,AL,Macon,Ralph Nader,green,31.0,8831
2000,Alabama,AL,Madison,Al Gore,democrat,48199.0,113318
2000,Alabama,AL,Madison,George W. Bush,republican,62151.0,113318
2000,Alabama,AL,Madison,Ralph Nader,green,1885.0,113318
2000,Alabama,AL,Marengo,Al Gore,democrat,4841.0,9608
2000,Alabama,AL,Marengo,George W. Bush,republican,4690.0,9608
2000,Alabama,AL,Marengo,Ralph Nader,green,40.0,9608
2000,Alabama,AL,Marion,Al Gore,democrat,4600.0,11756
2000,Alabama,AL,Marion,George W. Bush,republican,6910.0,11756
2000,Alabama,AL,Marion,Ralph Nader,green,125.0,11756
2000,Alabama,AL,Marshall,Al Gore,democrat,10381.0,27989
2000,Alabama,AL,Marshall,George W. Bush,republican,17084.0,27989
2000,Alabama,AL,Marshall,Ralph Nader,green,256.0,27989
2000,Alabama,AL,Mobile,Al Gore,democrat,58640.0,139745
2000,Alabama,AL,Mobile,George W. Bush,republican,78162.0,139745
2000,Alabama,AL,Mobile,Ralph Nader,green,1585.0,139745
2000,Alabama,AL,Monroe,Al Gore,democrat,3741.0,8951
2000,Alabama,AL,Monroe,George W. Bush,republican,5153.0,8951
2000,Alabama,AL,Monroe,Ralph Nader,green,25.0,8951
2000,Alabama,AL,Montgomery,Al Gore,democrat,40371.0,80328
2000,Alabama,AL,Montgomery,George W. Bush,republican,38827.0,80328
2000,Alabama,AL,Montgomery,Ralph Nader,green,677.0,80328
2000,Alabama,AL,Morgan,Al Gore,democrat,16060.0,42681
2000,Alabama,AL,Morgan,George W. Bush,republican,25774.0,42681
2000,Alabama,AL,Morgan,Ralph Nader,green,450.0,42681
2000,Alabama,AL,Perry,Al Gore,democrat,4020.0,5787
2000,Alabama,AL,Perry,George W. Bush,republican,1732.0,5787
2000,Alabama,AL,Perry,Ralph Nader,green,18.0,5787
2000,Alabama,AL,Pickens,Al Gore,democrat,4143.0,8540
2000,Alabama,AL,Pickens,George W. Bush,republican,4306.0,8540
2000,Alabama,AL,Pickens,Ralph Nader,green,39.0,8540
2000,Alabama,AL,Pike,Al Gore,democrat,4357.0,10544
2000,Alabama,AL,Pike,George W. Bush,republican,6058.0,10544
2000,Alabama,AL,Pike,Ralph Nader,green,75.0,10544
2000,Alabama,AL,Randolph,Al Gore,democrat,3094.0,7919
2000,Alabama,AL,Randolph,George W. Bush,republican,4666.0,7919
2000,Alabama,AL,Randolph,Ralph Nader,green,60.0,7919
2000,Alabama,AL,Russell,Al Gore,democrat,8396.0,14775
2000,Alabama,AL,Russell,George W. Bush,republican,6198.0,14775
2000,Alabama,AL,Russell,Ralph Nader,green,109.0,14775
2000,Alabama,AL,St. Clair,Al Gore,democrat,6485.0,24090
2000,Alabama,AL,St. Clair,George W. Bush,republican,17117.0,24090
2000,Alabama,AL,St. Clair,Ralph Nader,green,221.0,24090
2000,Alabama,AL,Shelby,Al Gore,democrat,13183.0,62128
2000,Alabama,AL,Shelby,George W. Bush,republican,47651.0,62128
2000,Alabama,AL,Shelby,Ralph Nader,green,812.0,62128
2000,Alabama,AL,Sumter,Al Gore,democrat,4415.0,6088
2000,Alabama,AL,Sumter,George W. Bush,republican,1629.0,6088
2000,Alabama,AL,Sumter,Ralph Nader,green,20.0,6088
2000,Alabama,AL,Talladega,Al Gore,democrat,11264.0,25451
2000,Alabama,AL,Talladega,George W. Bush,republican,13807.0,25451
2000,Alabama,AL,Talladega,Ralph Nader,green,184.0,25451
2000,Alabama,AL,Tallapoosa,Al Gore,democrat,6183.0,16253
2000,Alabama,AL,Tallapoosa,George W. Bush,republican,9805.0,16253
2000,Alabama,AL,Tallapoosa,Ralph Nader,green,153.0,16253
2000,Alabama,AL,Tuscaloosa,Al Gore,democrat,24614.0,60114
2000,Alabama,AL,Tuscaloosa,George W. Bush,republican,34003.0,60114
2000,Alabama,AL,Tuscaloosa,Ralph Nader,green,1007.0,60114
2000,Alabama,AL,Walker,Al Gore,democrat,11621.0,25641
2000,Alabama,AL,Walker,George W. Bush,republican,13486.0,25641
2000,Alabama,AL,Walker,Ralph Nader,green,264.0,25641
2000,Alabama,AL,Washington,Al Gore,democrat,3386.0,7596
2000,Alabama,AL,Washington,George W. Bush,republican,4117.0,7596
2000,Alabama,AL,Washington,Ralph Nader,green,26.0,7596
2000,Alabama,AL,Wilcox,Al Gore,democrat,3444.0,5126
2000,Alabama,AL,Wilcox,George W. Bush,republican,1661.0,5126
2000,Alabama,AL,Wilcox,Ralph Nader,green,6.0,5126
2000,Alabama,AL,Winston,Al Gore,democrat,2692.0,9318
2000,Alabama,AL,Winston,George W. Bush,republican,6413.0,9318
2000,Alabama,AL,Winston,Ralph Nader,green,88.0,9318
2000,Arizona,AZ,Apache,Al Gore,democrat,13025.0,19456
2000,Arizona,AZ,Apache,George W. Bush,republican,5947.0,19456
2000,Arizona,AZ,Apache,Ralph Nader,green,245.0,19456
2000,Arizona,AZ,Cochise,Al Gore,democrat,13360.0,33241
2000,Arizona,AZ,Cochise,George W. Bush,republican,18180.0,33241
2000,Arizona,AZ,Cochise,Ralph Nader,green,1113.0,33241
2000,Arizona,AZ,Coconino,Al Gore,democrat,20280.0,40883
2000,Arizona,AZ,Coconino,George W. Bush,republican,17562.0,40883
2000,Arizona,AZ,Coconino,Ralph Nader,green,2478.0,40883
2000,Arizona,AZ,Gila,Al Gore,democrat,7700.0,17736
2000,Arizona,AZ,Gila,George W. Bush,republican,9158.0,17736
2000,Arizona,AZ,Gila,Ralph Nader,green,497.0,17736
2000,Arizona,AZ,Graham,Al Gore,democrat,3355.0,9664
2000,Arizona,AZ,Graham,George W. Bush,republican,6007.0,9664
2000,Arizona,AZ,Graham,Ralph Nader,green,144.0,9664
2000,Arizona,AZ,Greenlee,Al Gore,democrat,1216.0,2960
2000,Arizona,AZ,Greenlee,George W. Bush,republican,1619.0,2960
2000,Arizona,AZ,Greenlee,Ralph Nader,green,68.0,2960
2000,Arizona,AZ,La Paz,Al Gore,democrat,1769.0,4483
2000,Arizona,AZ,La Paz,George W. Bush,republican,2543.0,4483
2000,Arizona,AZ,La Paz,Ralph Nader,green,91.0,4483
2000,Arizona,AZ,Maricopa,Al Gore,democrat,386683.0,901699
2000,Arizona,AZ,Maricopa,George W. Bush,republican,479967.0,901699
2000,Arizona,AZ,Maricopa,Ralph Nader,green,22465.0,901699
2000,Arizona,AZ,Mohave,Al Gore,democrat,17470.0,44141
2000,Arizona,AZ,Mohave,George W. Bush,republican,24386.0,44141
2000,Arizona,AZ,Mohave,Ralph Nader,green,1323.0,44141
2000,Arizona,AZ,Navajo,Al Gore,democrat,11794.0,25147
2000,Arizona,AZ,Navajo,George W. Bush,republican,12386.0,25147
2000,Arizona,AZ,Navajo,Ralph Nader,green,517.0,25147
2000,Arizona,AZ,Pima,Al Gore,democrat,147688.0,287640
2000,Arizona,AZ,Pima,George W. Bush,republican,124579.0,287640
2000,Arizona,AZ,Pima,Ralph Nader,green,12355.0,287640
2000,Arizona,AZ,Pinal,Al Gore,democrat,19650.0,41290
2000,Arizona,AZ,Pinal,George W. Bush,republican,20122.0,41290
2000,Arizona,AZ,Pinal,Ralph Nader,green,904.0,41290
2000,Arizona,AZ,Santa Cruz,Al Gore,democrat,5233.0,8893
2000,Arizona,AZ,Santa Cruz,George W. Bush,republican,3344.0,8893
2000,Arizona,AZ,Santa Cruz,Ralph Nader,green,217.0,8893
2000,Arizona,AZ,Yavapai,Al Gore,democrat,24063.0,68228
2000,Arizona,AZ,Yavapai,George W. Bush,republican,40144.0,68228
2000,Arizona,AZ,Yavapai,Ralph Nader,green,2733.0,68228
2000,Arizona,AZ,Yuma,Al Gore,democrat,12055.0,28652
2000,Arizona,AZ,Yuma,George W. Bush,republican,15708.0,28652
2000,Arizona,AZ,Yuma,Ralph Nader,green,495.0,28652
2000,Arkansas,AR,Arkansas,Al Gore,democrat,2877.0,6372
2000,Arkansas,AR,Arkansas,George W. Bush,republican,3353.0,6372
2000,Arkansas,AR,Arkansas,Ralph Nader,green,65.0,6372
2000,Arkansas,AR,Ashley,Al Gore,democrat,4253.0,8271
2000,Arkansas,AR,Ashley,George W. Bush,republican,3876.0,8271
2000,Arkansas,AR,Ashley,Ralph Nader,green,61.0,8271
2000,Arkansas,AR,Baxter,Al Gore,democrat,6516.0,16708
2000,Arkansas,AR,Baxter,George W. Bush,republican,9538.0,16708
2000,Arkansas,AR,Baxter,Ralph Nader,green,429.0,16708
2000,Arkansas,AR,Benton,Al Gore,democrat,17277.0,53646
2000,Arkansas,AR,Benton,George W. Bush,republican,34838.0,53646
2000,Arkansas,AR,Benton,Ralph Nader,green,862.0,53646
2000,Arkansas,AR,Boone,Al Gore,democrat,4493.0,13635
2000,Arkansas,AR,Boone,George W. Bush,republican,8569.0,13635
2000,Arkansas,AR,Boone,Ralph Nader,green,289.0,13635
2000,Arkansas,AR,Bradley,Al Gore,democrat,2122.0,3979
2000,Arkansas,AR,Bradley,George W. Bush,republican,1793.0,3979
2000,Arkansas,AR,Bradley,Ralph Nader,green,34.0,3979
2000,Arkansas,AR,Calhoun,Al Gore,democrat,1017.0,2185
2000,Arkansas,AR,Calhoun,George W. Bush,republican,1128.0,2185
2000,Arkansas,AR,Calhoun,Ralph Nader,green,19.0,2185
2000,Arkansas,AR,Carroll,Al Gore,democrat,3595.0,9590
2000,Arkansas,AR,Carroll,George W. Bush,republican,5556.0,9590
2000,Arkansas,AR,Carroll,Ralph Nader,green,301.0,9590
2000,Arkansas,AR,Chicot,Al Gore,democrat,2820.0,4452
2000,Arkansas,AR,Chicot,George W. Bush,republican,1564.0,4452
2000,Arkansas,AR,Chicot,Ralph Nader,green,26.0,4452
2000,Arkansas,AR,Clark,Al Gore,democrat,4661.0,8626
2000,Arkansas,AR,Clark,George W. Bush,republican,3776.0,8626
2000,Arkansas,AR,Clark,Ralph Nader,green,103.0,8626
2000,Arkansas,AR,Clay,Al Gore,democrat,3527.0,5900
2000,Arkansas,AR,Clay,George W. Bush,republican,2254.0,5900
2000,Arkansas,AR,Clay,Ralph Nader,green,73.0,5900
2000,Arkansas,AR,Cleburne,Al Gore,democrat,4120.0,10207
2000,Arkansas,AR,Cleburne,George W. Bush,republican,5730.0,10207
2000,Arkansas,AR,Cleburne,Ralph Nader,green,183.0,10207
2000,Arkansas,AR,Cleveland,Al Gore,democrat,1414.0,3181
2000,Arkansas,AR,Cleveland,George W. Bush,republican,1678.0,3181
2000,Arkansas,AR,Cleveland,Ralph Nader,green,30.0,3181
2000,Arkansas,AR,Columbia,Al Gore,democrat,4003.0,9307
2000,Arkansas,AR,Columbia,George W. Bush,republican,5018.0,9307
2000,Arkansas,AR,Columbia,Ralph Nader,green,70.0,9307
2000,Arkansas,AR,Conway,Al Gore,democrat,3496.0,7234
2000,Arkansas,AR,Conway,George W. Bush,republican,3545.0,7234
2000,Arkansas,AR,Conway,Ralph Nader,green,84.0,7234
2000,Arkansas,AR,Craighead,Al Gore,democrat,12376.0,25157
2000,Arkansas,AR,Craighead,George W. Bush,republican,12158.0,25157
2000,Arkansas,AR,Craighead,Ralph Nader,green,409.0,25157
2000,Arkansas,AR,Crawford,Al Gore,democrat,6288.0,17625
2000,Arkansas,AR,Crawford,George W. Bush,republican,10804.0,17625
2000,Arkansas,AR,Crawford,Ralph Nader,green,223.0,17625
2000,Arkansas,AR,Crittenden,Al Gore,democrat,7224.0,13234
2000,Arkansas,AR,Crittenden,George W. Bush,republican,5857.0,13234
2000,Arkansas,AR,Crittenden,Ralph Nader,green,97.0,13234
2000,Arkansas,AR,Cross,Al Gore,democrat,3096.0,6215
2000,Arkansas,AR,Cross,George W. Bush,republican,3033.0,6215
2000,Arkansas,AR,Cross,Ralph Nader,green,38.0,6215
2000,Arkansas,AR,Dallas,Al Gore,democrat,1710.0,3325
2000,Arkansas,AR,Dallas,George W. Bush,republican,1571.0,3325
2000,Arkansas,AR,Dallas,Ralph Nader,green,21.0,3325
2000,Arkansas,AR,Desha,Al Gore,democrat,2776.0,4495
2000,Arkansas,AR,Desha,George W. Bush,republican,1603.0,4495
2000,Arkansas,AR,Desha,Ralph Nader,green,38.0,4495
2000,Arkansas,AR,Drew,Al Gore,democrat,3060.0,5922
2000,Arkansas,AR,Drew,George W. Bush,republican,2756.0,5922
2000,Arkansas,AR,Drew,Ralph Nader,green,47.0,5922
2000,Arkansas,AR,Faulkner,Al Gore,democrat,11950.0,29216
2000,Arkansas,AR,Faulkner,George W. Bush,republican,16055.0,29216
2000,Arkansas,AR,Faulkner,Ralph Nader,green,513.0,29216
2000,Arkansas,AR,Franklin,Al Gore,democrat,2674.0,6140
2000,Arkansas,AR,Franklin,George W. Bush,republican,3277.0,6140
2000,Arkansas,AR,Franklin,Ralph Nader,green,100.0,6140
2000,Arkansas,AR,Fulton,Al Gore,democrat,1976.0,4108
2000,Arkansas,AR,Fulton,George W. Bush,republican,2036.0,4108
2000,Arkansas,AR,Fulton,Ralph Nader,green,51.0,4108
2000,Arkansas,AR,Garland,Al Gore,democrat,15840.0,35935
2000,Arkansas,AR,Garland,George W. Bush,republican,19098.0,35935
2000,Arkansas,AR,Garland,Ralph Nader,green,566.0,35935
2000,Arkansas,AR,Grant,Al Gore,democrat,2535.0,6013
2000,Arkansas,AR,Grant,George W. Bush,republican,3285.0,6013
2000,Arkansas,AR,Grant,Ralph Nader,green,88.0,6013
2000,Arkansas,AR,Greene,Al Gore,democrat,6319.0,12484
2000,Arkansas,AR,Greene,George W. Bush,republican,5831.0,12484
2000,Arkansas,AR,Greene,Ralph Nader,green,205.0,12484
2000,Arkansas,AR,Hempstead,Al Gore,democrat,3937.0,7289
2000,Arkansas,AR,Hempstead,George W. Bush,republican,3257.0,7289
2000,Arkansas,AR,Hempstead,Ralph Nader,green,50.0,7289
2000,Arkansas,AR,Hot Spring,Al Gore,democrat,5527.0,10981
2000,Arkansas,AR,Hot Spring,George W. Bush,republican,5042.0,10981
2000,Arkansas,AR,Hot Spring,Ralph Nader,green,202.0,10981
2000,Arkansas,AR,Howard,Al Gore,democrat,2063.0,4459
2000,Arkansas,AR,Howard,George W. Bush,republican,2326.0,4459
2000,Arkansas,AR,Howard,Ralph Nader,green,50.0,4459
2000,Arkansas,AR,Independence,Al Gore,democrat,5146.0,11594
2000,Arkansas,AR,Independence,George W. Bush,republican,6145.0,11594
2000,Arkansas,AR,Independence,Ralph Nader,green,171.0,11594
2000,Arkansas,AR,Izard,Al Gore,democrat,2587.0,5032
2000,Arkansas,AR,Izard,George W. Bush,republican,2301.0,5032
2000,Arkansas,AR,Izard,Ralph Nader,green,76.0,5032
2000,Arkansas,AR,Jackson,Al Gore,democrat,3651.0,6072
2000,Arkansas,AR,Jackson,George W. Bush,republican,2280.0,6072
2000,Arkansas,AR,Jackson,Ralph Nader,green,77.0,6072
2000,Arkansas,AR,Jefferson,Al Gore,democrat,17716.0,27201
2000,Arkansas,AR,Jefferson,George W. Bush,republican,8765.0,27201
2000,Arkansas,AR,Jefferson,Ralph Nader,green,361.0,27201
2000,Arkansas,AR,Johnson,Al Gore,democrat,3270.0,7161
2000,Arkansas,AR,Johnson,George W. Bush,republican,3657.0,7161
2000,Arkansas,AR,Johnson,Ralph Nader,green,109.0,7161
2000,Arkansas,AR,Lafayette,Al Gore,democrat,1806.0,3383
2000,Arkansas,AR,Lafayette,George W. Bush,republican,1538.0,3383
2000,Arkansas,AR,Lafayette,Ralph Nader,green,27.0,3383
2000,Arkansas,AR,Lawrence,Al Gore,democrat,3255.0,6040
2000,Arkansas,AR,Lawrence,George W. Bush,republican,2626.0,6040
2000,Arkansas,AR,Lawrence,Ralph Nader,green,87.0,6040
2000,Arkansas,AR,Lee,Al Gore,democrat,2727.0,4121
2000,Arkansas,AR,Lee,George W. Bush,republican,1351.0,4121
2000,Arkansas,AR,Lee,Ralph Nader,green,18.0,4121
2000,Arkansas,AR,Lincoln,Al Gore,democrat,1957.0,3546
2000,Arkansas,AR,Lincoln,George W. Bush,republican,1526.0,3546
2000,Arkansas,AR,Lincoln,Ralph Nader,green,21.0,3546
2000,Arkansas,AR,Little River,Al Gore,democrat,2883.0,5263
2000,Arkansas,AR,Little River,George W. Bush,republican,2283.0,5263
2000,Arkansas,AR,Little River,Ralph Nader,green,50.0,5263
2000,Arkansas,AR,Logan,Al Gore,democrat,3283.0,8096
2000,Arkansas,AR,Logan,George W. Bush,republican,4487.0,8096
2000,Arkansas,AR,Logan,Ralph Nader,green,124.0,8096
2000,Arkansas,AR,Lonoke,Al Gore,democrat,6851.0,17943
2000,Arkansas,AR,Lonoke,George W. Bush,republican,10606.0,17943
2000,Arkansas,AR,Lonoke,Ralph Nader,green,237.0,17943
2000,Arkansas,AR,Madison,Al Gore,democrat,2055.0,5628
2000,Arkansas,AR,Madison,George W. Bush,republican,3387.0,5628
2000,Arkansas,AR,Madison,Ralph Nader,green,88.0,5628
2000,Arkansas,AR,Marion,Al Gore,democrat,2233.0,6015
2000,Arkansas,AR,Marion,George W. Bush,republican,3402.0,6015
2000,Arkansas,AR,Marion,Ralph Nader,green,220.0,6015
2000,Arkansas,AR,Miller,Al Gore,democrat,6278.0,13745
2000,Arkansas,AR,Miller,George W. Bush,republican,7276.0,13745
2000,Arkansas,AR,Miller,Ralph Nader,green,100.0,13745
2000,Arkansas,AR,Mississippi,Al Gore,democrat,7107.0,12586
2000,Arkansas,AR,Mississippi,George W. Bush,republican,5199.0,12586
2000,Arkansas,AR,Mississippi,Ralph Nader,green,110.0,12586
2000,Arkansas,AR,Monroe,Al Gore,democrat,1910.0,3293
2000,Arkansas,AR,Monroe,George W. Bush,republican,1329.0,3293
2000,Arkansas,AR,Monroe,Ralph Nader,green,29.0,3293
2000,Arkansas,AR,Montgomery,Al Gore,democrat,1438.0,3739
2000,Arkansas,AR,Montgomery,George W. Bush,republican,2128.0,3739
2000,Arkansas,AR,Montgomery,Ralph Nader,green,101.0,3739
2000,Arkansas,AR,Nevada,Al Gore,democrat,1867.0,3738
2000,Arkansas,AR,Nevada,George W. Bush,republican,1796.0,3738
2000,Arkansas,AR,Nevada,Ralph Nader,green,42.0,3738
2000,Arkansas,AR,Newton,Al Gore,democrat,1205.0,3927
2000,Arkansas,AR,Newton,George W. Bush,republican,2529.0,3927
2000,Arkansas,AR,Newton,Ralph Nader,green,112.0,3927
2000,Arkansas,AR,Ouachita,Al Gore,democrat,5464.0,10395
2000,Arkansas,AR,Ouachita,George W. Bush,republican,4739.0,10395
2000,Arkansas,AR,Ouachita,Ralph Nader,green,100.0,10395
2000,Arkansas,AR,Perry,Al Gore,democrat,1648.0,4007
2000,Arkansas,AR,Perry,George W. Bush,republican,2114.0,4007
2000,Arkansas,AR,Perry,Ralph Nader,green,61.0,4007
2000,Arkansas,AR,Phillips,Al Gore,democrat,6018.0,9313
2000,Arkansas,AR,Phillips,George W. Bush,republican,3154.0,9313
