location,State,County,Location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,new_county
"Georgia, Bryan",Georgia,Bryan,"Georgia, Bryan",23474,23867,24377,25069,26061,26557,27346,28302,29178,29987,"30,377","31,267","32,251","33,034","33,664","34,792","35,839",Bryan
"Georgia, Bulloch",Georgia,Bulloch,"Georgia, Bulloch",56146,56808,57361,59314,60832,63048,64304,65768,67092,68598,"70,559","72,637","73,102","71,816","72,651","73,116","74,642",Bulloch
"Georgia, Burke",Georgia,Burke,"Georgia, Burke",22279,22582,22626,22692,22867,22939,22875,22972,23084,23117,"23,336","23,506","23,048","22,824","22,621","22,632","22,601",Burke
"Georgia, Butts",Georgia,Butts,"Georgia, Butts",19621,20186,20993,21540,21706,22055,22669,23184,23794,23682,"23,786","23,609","23,438","23,218","23,341","23,520","23,736",Butts
"Georgia, Calhoun",Georgia,Calhoun,"Georgia, Calhoun",6325,6271,6359,6286,6306,6256,6350,6269,6456,6670,"6,697","6,625","6,565","6,596","6,506","6,534","6,359",Calhoun
"Georgia, Camden",Georgia,Camden,"Georgia, Camden",43824,44469,45299,44568,46096,46673,47086,48947,49713,50024,"50,661","50,303","51,351","51,404","51,909","52,439","52,394",Camden
"Georgia, Candler",Georgia,Candler,"Georgia, Candler",9585,9442,9772,9937,10039,10158,10388,10586,10691,10880,"11,025","11,209","11,102","10,960","10,865","10,873","10,849",Candler
"Georgia, Carroll",Georgia,Carroll,"Georgia, Carroll",87932,91132,94087,97396,99774,102526,105853,108947,110242,110433,"110,655","110,728","111,412","112,265","113,933","114,461","116,077",Carroll
"Georgia, Catoosa",Georgia,Catoosa,"Georgia, Catoosa",53549,54638,56024,57614,58866,59745,61095,62539,63271,63874,"64,069","64,753","64,864","65,221","65,467","65,778","66,265",Catoosa
"Georgia, Charlton",Georgia,Charlton,"Georgia, Charlton",10312,10675,10910,11282,11378,11635,12089,12056,12604,12665,"12,853","13,455","13,348","13,107","13,051","13,239","12,842",Charlton
"Georgia, Chatham",Georgia,Chatham,"Georgia, Chatham",232492,234150,236510,237348,240818,242242,246896,251981,255269,262122,"265,799","271,623","276,164","277,650","282,201","285,959","288,615",Chatham
"Georgia, Chattahoochee",Georgia,Chattahoochee,"Georgia, Chattahoochee",15047,15780,18043,15289,15515,14096,11828,11965,11624,11955,"11,182","11,257","12,265","12,245","11,696","11,042","10,047",Chattahoochee
"Georgia, Chattooga",Georgia,Chattooga,"Georgia, Chattooga",25419,25675,25688,25981,25537,25506,25640,26230,26146,25894,"25,959","25,685","25,627","25,049","24,861","24,905","24,836",Chattooga
"Georgia, Cherokee",Georgia,Cherokee,"Georgia, Cherokee",143777,151189,158682,165585,173105,182128,193241,202544,208271,212232,"215,197","217,732","220,643","224,314","230,167","235,329","241,795",Cherokee
"Georgia, Clarke",Georgia,Clarke,"Georgia, Clarke",102401,103890,104673,106287,109752,109536,112074,113995,115768,116843,"117,403","118,229","119,891","120,888","120,386","123,561","124,905",Clarke
"Georgia, Clay",Georgia,Clay,"Georgia, Clay",3353,3360,3314,3303,3233,3216,3232,3262,3233,3201,"3,177","3,162","3,106","3,015","3,072","3,077","3,005",Clay
"Georgia, Clayton",Georgia,Clayton,"Georgia, Clayton",238079,245327,248954,252631,255322,256292,258552,260441,262099,260067,"259,877","262,031","265,294","264,015","266,629","272,720","279,333",Clayton
"Georgia, Clinch",Georgia,Clinch,"Georgia, Clinch",6831,6901,6870,6933,6893,6948,6828,6838,6941,6799,"6,764","6,718","6,690","6,758","6,781","6,826","6,742",Clinch
"Georgia, Cobb",Georgia,Cobb,"Georgia, Cobb",611505,623006,631018,634638,640346,646754,661913,670438,679822,684776,"689,495","696,507","706,322","716,017","727,543","739,052","748,178",Cobb
"Georgia, Coffee",Georgia,Coffee,"Georgia, Coffee",37592,38350,38791,39183,39383,39829,40702,41299,41813,42089,"42,728","42,996","43,124","43,078","42,884","42,987","42,908",Coffee
"Georgia, Colquitt",Georgia,Colquitt,"Georgia, Colquitt",42140,42223,42570,42554,42987,42993,43700,44209,44872,45152,"45,634","45,772","46,013","46,126","45,864","45,466","45,429",Colquitt
"Georgia, Columbia",Georgia,Columbia,"Georgia, Columbia",90138,92537,95818,98761,102934,106477,110845,115074,117504,121050,"124,955","128,804","132,541","136,141","139,104","143,837","147,370",Columbia
"Georgia, Cook",Georgia,Cook,"Georgia, Cook",15855,15885,15985,16060,16268,16567,16622,16848,17067,17114,"17,185","17,033","16,904","17,051","17,297","17,070","17,162",Cook
"Georgia, Coweta",Georgia,Coweta,"Georgia, Coweta",90117,93627,97191,100382,104089,108371,113749,118156,122281,125501,"127,937","129,374","130,593","132,944","135,140","138,145","140,497",Coweta
"Georgia, Crawford",Georgia,Crawford,"Georgia, Crawford",12408,12496,12553,12592,12784,12875,12943,12895,12967,12711,"12,587","12,585","12,579","12,483","12,401","12,354","12,268",Crawford
"Georgia, Crisp",Georgia,Crisp,"Georgia, Crisp",22018,22184,22284,22194,22320,22456,22718,23146,23243,23378,"23,433","23,753","23,589","23,298","23,061","22,959","22,905",Crisp
"Georgia, Dade",Georgia,Dade,"Georgia, Dade",15199,15520,15658,15901,16028,16188,16411,16648,16651,16657,"16,630","16,600","16,518","16,453","16,289","16,162","16,224",Dade
"Georgia, Dawson",Georgia,Dawson,"Georgia, Dawson",16238,16875,17521,18406,18831,19611,20660,21509,21951,22325,"22,328","22,340","22,513","22,732","23,022","23,369","23,668",Dawson
"Georgia, DeKalb",Georgia,DeKalb,"Georgia, DeKalb",668271,670900,669789,668148,666204,668998,676687,680962,685646,690658,"692,443","698,329","710,557","717,740","724,892","734,434","746,802",DeKalb
"Georgia, Decatur",Georgia,Decatur,"Georgia, Decatur",28223,27870,27892,27795,27763,27511,27835,27883,28010,28058,"27,817","27,651","27,442","27,391","27,167","27,049","26,679",Decatur
"Georgia, Dodge",Georgia,Dodge,"Georgia, Dodge",19168,19513,19771,20180,20319,20550,20954,21225,21399,21659,"21,761","21,614","21,517","21,429","21,173","21,142","20,854",Dodge
"Georgia, Dooly",Georgia,Dooly,"Georgia, Dooly",11519,12040,12207,12508,12848,13292,13719,13867,14191,14769,"14,854","14,612","14,415","14,372","14,246","14,034","13,853",Dooly
"Georgia, Dougherty",Georgia,Dougherty,"Georgia, Dougherty",95859,95944,95429,95015,94596,94610,94418,94522,94363,94688,"94,513","95,063","94,694","93,411","92,742","91,513","90,389",Dougherty
"Georgia, Douglas",Georgia,Douglas,"Georgia, Douglas",92774,95720,98582,102034,107377,113354,119918,125560,129508,131292,"132,573","133,106","133,555","136,024","138,007","140,173","141,664",Douglas
"Georgia, Early",Georgia,Early,"Georgia, Early",12303,12207,12047,11978,11800,11749,11648,11429,11262,11101,"10,983","10,790","10,640","10,540","10,450","10,462","10,306",Early
"Georgia, Echols",Georgia,Echols,"Georgia, Echols",3782,3774,3751,3844,3926,3946,3913,3938,3954,4012,"4,015","4,064","3,967","3,993","4,032","4,030","3,956",Echols
"Georgia, Effingham",Georgia,Effingham,"Georgia, Effingham",37755,39116,40757,42168,43674,45729,47823,49660,50738,51908,"52,464","52,692","53,330","54,419","55,410","57,076","58,699",Effingham
"Georgia, Elbert",Georgia,Elbert,"Georgia, Elbert",20464,20544,20610,20572,20693,20593,20631,20551,20477,20335,"20,100","19,820","19,576","19,490","19,387","19,302","19,136",Elbert
"Georgia, Emanuel",Georgia,Emanuel,"Georgia, Emanuel",21851,21683,21511,21616,21579,21777,22091,22109,22421,22456,"22,607","22,492","22,732","22,631","22,482","22,471","22,406",Emanuel
"Georgia, Evans",Georgia,Evans,"Georgia, Evans",10531,10691,10885,11020,10889,10895,10889,10899,11020,11016,"11,021","10,980","10,678","10,794","10,811","10,690","10,648",Evans
"Georgia, Fannin",Georgia,Fannin,"Georgia, Fannin",19954,20412,21041,21424,21873,22174,22758,23185,23416,23661,"23,685","23,648","23,615","23,831","23,863","24,442","25,032",Fannin
"Georgia, Fayette",Georgia,Fayette,"Georgia, Fayette",92073,94086,95707,97634,99443,101961,104099,104989,105192,105493,"106,938","107,156","107,315","108,054","109,199","110,141","111,218",Fayette
"Georgia, Floyd",Georgia,Floyd,"Georgia, Floyd",90837,91181,92597,93539,94014,94332,95165,95308,95922,96383,"96,431","96,161","95,940","95,880","95,868","96,186","96,698",Floyd
"Georgia, Forsyth",Georgia,Forsyth,"Georgia, Forsyth",100400,108491,115797,122698,129639,137643,147228,157129,166338,171993,"176,723","181,794","186,793","193,801","202,598","211,250","220,481",Forsyth
"Georgia, Franklin",Georgia,Franklin,"Georgia, Franklin",20314,20703,20942,21193,21430,21725,21956,22195,22254,22152,"22,074","21,972","21,916","22,045","22,175","22,267","22,316",Franklin
"Georgia, Fulton",Georgia,Fulton,"Georgia, Fulton",816190,820213,815224,812568,809481,818737,845181,869329,888694,905511,"925,632","947,469","973,221","981,472","991,847","1,005,127","1,022,866",Fulton
"Georgia, Gilmer",Georgia,Gilmer,"Georgia, Gilmer",23634,24229,24920,25575,26175,26808,27665,27996,28211,28174,"28,339","28,325","28,288","28,717","28,994","29,514","29,911",Gilmer
"Georgia, Glascock",Georgia,Glascock,"Georgia, Glascock",2574,2586,2618,2644,2720,2763,2893,2988,3010,3066,"3,079","3,103","3,107","3,060","3,008","3,020","2,978",Glascock
"Georgia, Glynn",Georgia,Glynn,"Georgia, Glynn",67696,68558,69408,70391,71475,72589,74870,76513,78013,78946,"79,744","80,111","80,866","81,497","82,177","83,311","84,099",Glynn
"Georgia, Gordon",Georgia,Gordon,"Georgia, Gordon",44401,45757,46939,48145,49426,50602,52161,53409,54567,54945,"55,257","55,520","55,687","55,761","55,836","56,324","56,933",Gordon
"Georgia, Grady",Georgia,Grady,"Georgia, Grady",23624,23635,23635,23716,23840,24031,24384,24624,24728,24893,"25,021","25,097","25,270","25,101","25,215","25,089","24,869",Grady
"Georgia, Greene",Georgia,Greene,"Georgia, Greene",14389,14703,14984,15110,15330,15499,15587,15823,15869,15934,"15,976","16,050","16,118","16,243","16,418","16,617","16,869",Greene
"Georgia, Gwinnett",Georgia,Gwinnett,"Georgia, Gwinnett",595584,620025,641986,663391,687468,710978,740267,764129,780721,796276,"808,007","822,415","836,844","853,459","870,986","888,494","904,962",Gwinnett
"Georgia, Habersham",Georgia,Habersham,"Georgia, Habersham",36095,36914,37421,38051,38491,39155,40616,41865,42550,42947,"43,061","43,043","43,377","43,154","43,564","43,792","44,104",Habersham
"Georgia, Hall",Georgia,Hall,"Georgia, Hall",140993,146148,150229,153561,156385,160979,166524,172446,177277,178503,"180,033","182,269","184,102","186,431","189,142","192,245","196,159",Hall
"Georgia, Hancock",Georgia,Hancock,"Georgia, Hancock",10066,10022,9829,9764,9673,9634,9650,9889,9808,9508,"9,433","9,395","9,079","8,952","8,571","8,578","8,633",Hancock
"Georgia, Haralson",Georgia,Haralson,"Georgia, Haralson",25788,26232,26676,27227,27621,27987,28121,28558,28645,28774,"28,758","28,465","28,310","28,335","28,487","28,702","28,830",Haralson
"Georgia, Harris",Georgia,Harris,"Georgia, Harris",23912,24547,25327,26256,27180,28170,29289,30276,30807,31494,"32,149","32,307","32,570","32,532","32,737","33,155","33,633",Harris
"Georgia, Hart",Georgia,Hart,"Georgia, Hart",23046,23049,23286,23402,23966,24376,24764,24894,25138,25108,"25,240","25,417","25,513","25,456","25,362","25,410","25,471",Hart
"Georgia, Heard",Georgia,Heard,"Georgia, Heard",11038,11173,11207,11169,11273,11350,11553,11618,11809,11765,"11,841","11,731","11,652","11,564","11,623","11,556","11,579",Heard
"Georgia, Henry",Georgia,Henry,"Georgia, Henry",121774,131000,140747,150928,159971,169607,180304,188736,194658,199622,"205,039","206,911","208,005","210,012","212,957","216,414","220,896",Henry
"Georgia, Houston",Georgia,Houston,"Georgia, Houston",111294,113432,116411,119396,123723,126201,128978,132373,134922,137416,"140,651","143,775","145,827","147,527","148,575","149,323","151,622",Houston
"Georgia, Irwin",Georgia,Irwin,"Georgia, Irwin",9905,9953,9775,9777,9402,9779,9852,9493,9803,9536,"9,577","9,676","9,597","9,345","9,078","9,135","9,302",Irwin
"Georgia, Jackson",Georgia,Jackson,"Georgia, Jackson",41845,43367,44940,46230,48288,50607,54037,57521,59420,60052,"60,696","60,974","60,844","61,268","62,101","63,418","65,061",Jackson
"Georgia, Jasper",Georgia,Jasper,"Georgia, Jasper",11496,11629,12027,12417,12588,12985,13370,13569,13769,13842,"13,889","13,832","13,640","13,597","13,531","13,683","13,767",Jasper
"Georgia, Jeff Davis",Georgia,Jeff Davis,"Georgia, Jeff Davis",12734,12877,13088,13234,13433,13729,14028,14204,14577,14892,"15,111","15,158","15,192","15,042","14,927","15,013","14,965",Jeff Davis
"Georgia, Jefferson",Georgia,Jefferson,"Georgia, Jefferson",17229,17121,17091,17019,16988,16924,16889,16830,16925,17067,"16,869","16,769","16,347","16,240","16,119","15,917","15,755",Jefferson
"Georgia, Jenkins",Georgia,Jenkins,"Georgia, Jenkins",8584,8577,8543,8518,8490,8510,8533,8442,8340,8339,"8,320","8,125","9,108","9,194","9,034","8,899","8,812",Jenkins
"Georgia, Johnson",Georgia,Johnson,"Georgia, Johnson",8567,8768,9436,9456,9613,9516,9638,10107,10127,9990,"9,986","9,999","10,004","9,900","9,803","9,708","9,660",Johnson
"Georgia, Jones",Georgia,Jones,"Georgia, Jones",23762,24315,24909,25738,26537,27189,27563,28000,28552,28710,"28,646","28,740","28,624","28,576","28,652","28,441","28,574",Jones
"Georgia, Lamar",Georgia,Lamar,"Georgia, Lamar",16024,16464,16289,16470,16567,16961,17115,17476,18025,18233,"18,265","18,160","18,030","17,929","18,189","18,236","18,484",Lamar
"Georgia, Lanier",Georgia,Lanier,"Georgia, Lanier",7283,7253,7422,7748,7824,8068,8509,9013,9560,9810,"10,104","10,482","10,466","10,412","10,369","10,269","10,430",Lanier
"Georgia, Laurens",Georgia,Laurens,"Georgia, Laurens",44931,45123,45634,46277,46329,46751,47287,47649,48192,48601,"48,384","47,891","47,842","47,733","47,569","47,486","47,279",Laurens
"Georgia, Lee",Georgia,Lee,"Georgia, Lee",24808,24945,25115,25260,25965,26505,27365,27792,28111,28326,"28,414","28,578","28,708","29,039","29,122","29,173","29,184",Lee
"Georgia, Liberty",Georgia,Liberty,"Georgia, Liberty",61811,61388,62505,60403,63254,64718,63047,63708,62635,67061,"62,765","65,179","64,412","62,341","64,091","61,611","61,473",Liberty
"Georgia, Lincoln",Georgia,Lincoln,"Georgia, Lincoln",8335,8375,8375,8357,8284,8274,8198,8161,8156,8073,"7,970","7,872","7,764","7,734","7,644","7,722","7,855",Lincoln
"Georgia, Long",Georgia,Long,"Georgia, Long",10370,10551,10894,10849,11355,11677,12152,12381,12744,13787,"14,574","15,088","15,994","16,484","17,029","17,658","18,372",Long
"Georgia, Lowndes",Georgia,Lowndes,"Georgia, Lowndes",92206,92402,93903,94207,96510,98273,100592,101752,104918,107583,"109,689","111,479","114,071","112,883","113,506","113,342","114,360",Lowndes
"Georgia, Lumpkin",Georgia,Lumpkin,"Georgia, Lumpkin",21251,22152,23048,24162,24916,25884,27300,28228,29128,29723,"30,282","30,457","30,686","30,873","31,120","31,285","31,415",Lumpkin
"Georgia, Macon",Georgia,Macon,"Georgia, Macon",14025,14186,14245,14294,14304,14241,14364,14402,14496,14842,"14,645","14,454","14,301","13,976","13,819","13,688","13,478",Macon
"Georgia, Madison",Georgia,Madison,"Georgia, Madison",25800,26046,26512,26857,26859,27123,27347,27649,27820,28008,"28,212","28,174","28,070","28,202","28,362","28,419","28,856",Madison
"Georgia, Marion",Georgia,Marion,"Georgia, Marion",7189,7322,7400,7521,7637,7818,8089,8255,8357,8561,"8,741","8,701","8,672","8,580","8,632","8,558","8,468",Marion
"Georgia, McDuffie",Georgia,McDuffie,"Georgia, McDuffie",21269,21323,21141,21155,21256,21419,21564,21527,21790,21836,"21,803","21,614","21,630","21,499","21,524","21,462","21,456",McDuffie
"Georgia, McIntosh",Georgia,McIntosh,"Georgia, McIntosh",10948,11401,11648,11878,12182,12408,12950,13623,13973,14268,"14,311","14,223","13,883","14,027","14,064","14,031","14,057",McIntosh
"Georgia, Meriwether",Georgia,Meriwether,"Georgia, Meriwether",22526,22524,22726,22615,22563,22587,22694,22506,22632,22446,"21,818","21,598","21,335","21,217","21,208","21,173","21,074",Meriwether
"Georgia, Miller",Georgia,Miller,"Georgia, Miller",6351,6372,6336,6206,6135,6096,6104,6124,6158,6131,"6,133","6,071","6,004","5,899","5,944","5,848","5,874",Miller
"Georgia, Mitchell",Georgia,Mitchell,"Georgia, Mitchell",23965,23872,23698,23594,23520,23363,23579,23974,23840,23592,"23,502","23,400","23,086","22,992","22,715","22,449","22,455",Mitchell
"Georgia, Monroe",Georgia,Monroe,"Georgia, Monroe",21824,22092,22767,23499,23648,24080,24924,25726,25969,26233,"26,179","26,344","26,373","26,619","26,667","26,708","26,905",Monroe
"Georgia, Montgomery",Georgia,Montgomery,"Georgia, Montgomery",8234,8505,8532,8805,9040,8997,9165,9175,9100,9136,"9,144","9,030","8,887","8,957","8,982","8,942","8,985",Montgomery
"Georgia, Morgan",Georgia,Morgan,"Georgia, Morgan",15531,15951,16244,16397,16604,16925,17316,17648,17958,17921,"17,901","17,907","17,809","17,682","17,896","17,948","18,107",Morgan
"Georgia, Murray",Georgia,Murray,"Georgia, Murray",36737,37683,38167,38998,39465,39723,40173,40138,39869,39888,"39,533","39,365","39,311","39,178","39,215","39,430","39,347",Murray
"Georgia, Muscogee",Georgia,Muscogee,"Georgia, Muscogee",186478,186375,185139,180838,185057,186543,189464,184704,184763,188796,"191,101","195,271","198,965","203,225","200,563","198,702","196,219",Muscogee
"Georgia, Newton",Georgia,Newton,"Georgia, Newton",62768,66823,71102,75610,80603,85647,90647,95699,98240,99494,"100,133","100,444","100,956","102,040","103,441","104,884","106,499",Newton
"Georgia, Oconee",Georgia,Oconee,"Georgia, Oconee",25874,26135,26501,27334,27904,28616,29720,30755,31697,32386,"32,925","33,264","33,514","34,077","35,072","35,853","36,929",Oconee
"Georgia, Oglethorpe",Georgia,Oglethorpe,"Georgia, Oglethorpe",12688,12902,13152,13369,13591,13699,14030,14382,14663,14784,"14,899","14,708","14,509","14,423","14,541","14,732","14,712",Oglethorpe
"Georgia, Paulding",Georgia,Paulding,"Georgia, Paulding",83026,88910,94561,100340,106350,113132,122635,131172,137066,140761,"142,837","143,606","144,738","146,753","148,532","151,649","155,246",Paulding
"Georgia, Peach",Georgia,Peach,"Georgia, Peach",23871,24063,24348,24595,24818,24756,25510,26467,27222,27474,"27,857","27,786","27,765","27,162","27,142","26,970","26,885",Peach
"Georgia, Pickens",Georgia,Pickens,"Georgia, Pickens",23412,24334,25258,26209,26810,27277,28169,29095,29531,29542,"29,436","29,390","29,260","29,387","29,807","30,136","30,652",Pickens
"Georgia, Pierce",Georgia,Pierce,"Georgia, Pierce",15702,15811,15995,16278,16755,17179,17502,17933,18210,18564,"18,815","18,774","18,905","19,017","19,010","19,094","19,104",Pierce
"Georgia, Pike",Georgia,Pike,"Georgia, Pike",13571,13834,14445,14881,15474,15908,16590,17220,17619,17721,"17,922","17,785","17,770","17,774","17,765","17,925","17,897",Pike
"Georgia, Polk",Georgia,Polk,"Georgia, Polk",38178,38612,39109,39246,39564,39860,40372,40789,41407,41386,"41,547","41,281","41,101","40,977","40,879","41,207","41,555",Polk
"Georgia, Pulaski",Georgia,Pulaski,"Georgia, Pulaski",9655,9882,10168,10351,10646,10890,11183,11445,11638,11903,"11,969","11,839","11,699","11,563","11,509","11,395","11,288",Pulaski
"Georgia, Putnam",Georgia,Putnam,"Georgia, Putnam",18834,19152,19366,19494,19810,20012,20368,20800,21075,21179,"21,191","21,240","21,133","21,280","21,143","21,307","21,515",Putnam
"Georgia, Quitman",Georgia,Quitman,"Georgia, Quitman",2596,2607,2547,2478,2457,2519,2545,2529,2547,2497,"2,512","2,453","2,406","2,367","2,285","2,275","2,320",Quitman
"Georgia, Rabun",Georgia,Rabun,"Georgia, Rabun",15070,15310,15458,15691,15757,15934,16090,16306,16359,16295,"16,277","16,257","16,304","16,184","16,158","16,223","16,465",Rabun
"Georgia, Randolph",Georgia,Randolph,"Georgia, Randolph",7773,7786,7747,7699,7726,7707,7786,7758,7645,7736,"7,668","7,567","7,308","7,201","7,314","7,150","7,155",Randolph
"Georgia, Richmond",Georgia,Richmond,"Georgia, Richmond",199547,199443,198670,196958,196883,195837,196449,196483,198423,198489,"201,115","200,568","201,742","201,335","201,287","201,451","201,949",Richmond
"Georgia, Rockdale",Georgia,Rockdale,"Georgia, Rockdale",70724,71875,73158,74860,76577,78086,79911,82146,83558,84625,"85,354","85,409","85,427","86,480","87,164","88,354","88,987",Rockdale
"Georgia, Schley",Georgia,Schley,"Georgia, Schley",3791,3860,3920,3976,4070,4270,4374,4601,4835,4954,"5,020","5,044","5,024","5,095","5,189","5,209","5,173",Schley
"Georgia, Screven",Georgia,Screven,"Georgia, Screven",15341,15057,15226,15040,15047,15065,14884,14865,14843,14905,"14,501","14,405","14,168","14,145","14,002","14,059","14,003",Screven
"Georgia, Seminole",Georgia,Seminole,"Georgia, Seminole",9329,9251,9210,9033,9065,8905,8869,8800,8827,8760,"8,727","8,767","8,871","8,848","8,603","8,565","8,427",Seminole
"Georgia, Spalding",Georgia,Spalding,"Georgia, Spalding",58497,58927,59699,60222,60588,61091,61971,62682,63651,64135,"64,096","64,044","63,691","63,508","63,692","63,818","64,546",Spalding
"Georgia, Stephens",Georgia,Stephens,"Georgia, Stephens",25482,25594,25625,25432,25314,25332,25488,25620,26004,26069,"26,117","25,750","25,703","25,551","25,406","25,446","25,637",Stephens
"Georgia, Stewart",Georgia,Stewart,"Georgia, Stewart",5284,5358,5424,5472,5534,5595,5627,5691,5814,5968,"6,102","6,067","6,109","5,559","5,887","5,973","6,122",Stewart
"Georgia, Sumter",Georgia,Sumter,"Georgia, Sumter",33448,33447,33362,33178,32902,32622,32785,32987,33012,32724,"32,684","32,068","31,582","31,335","31,161","30,696","30,403",Sumter
"Georgia, Talbot",Georgia,Talbot,"Georgia, Talbot",6563,6675,6749,6696,6775,6906,6959,7026,6899,6873,"6,880","6,850","6,640","6,554","6,534","6,498","6,366",Talbot
"Georgia, Taliaferro",Georgia,Taliaferro,"Georgia, Taliaferro",2076,2031,2040,1923,1903,1858,1863,1851,1820,1774,"1,703","1,705","1,674","1,690","1,693","1,642","1,611",Taliaferro
"Georgia, Tattnall",Georgia,Tattnall,"Georgia, Tattnall",22322,22242,22276,22485,23034,23165,23417,23444,23801,25068,"25,475","25,436","25,463","25,635","25,321","25,387","25,342",Tattnall
"Georgia, Taylor",Georgia,Taylor,"Georgia, Taylor",8821,8756,8837,8879,8918,8860,8798,8868,8945,8854,"8,777","8,440","8,361","8,380","8,380","8,243","8,189",Taylor
"Georgia, Telfair",Georgia,Telfair,"Georgia, Telfair",11893,12155,12347,13887,14685,15070,15401,15932,16230,16200,"16,518","16,243","16,367","16,633","16,454","16,451","15,962",Telfair
"Georgia, Terrell",Georgia,Terrell,"Georgia, Terrell",10935,10822,10607,10641,10453,10134,9969,9701,9648,9596,"9,526","9,392","9,225","9,165","9,079","9,013","8,861",Terrell
"Georgia, Thomas",Georgia,Thomas,"Georgia, Thomas",42829,42674,42555,42956,42762,43556,43901,44269,44627,44689,"44,747","44,590","44,528","44,770","44,765","44,796","44,950",Thomas
"Georgia, Tift",Georgia,Tift,"Georgia, Tift",38348,38133,38217,38215,38622,38789,39503,39720,39806,39748,"40,251","41,159","40,945","40,180","40,453","40,536","40,554",Tift
"Georgia, Toombs",Georgia,Toombs,"Georgia, Toombs",26137,26040,26031,26009,26166,26539,26851,27185,27345,27079,"27,244","27,195","27,168","27,189","27,135","27,150","27,121",Toombs
"Georgia, Towns",Georgia,Towns,"Georgia, Towns",9348,9499,9532,9745,9872,9940,10281,10452,10485,10444,"10,535","10,580","10,563","10,787","11,084","11,212","11,419",Towns
"Georgia, Treutlen",Georgia,Treutlen,"Georgia, Treutlen",6862,6895,6881,6924,6949,6679,6771,6773,6847,6906,"6,894","6,824","6,789","6,687","6,811","6,803","6,710",Treutlen
"Georgia, Troup",Georgia,Troup,"Georgia, Troup",58923,59844,60224,60791,62001,63233,63897,64894,65860,66422,"67,054","67,629","68,282","68,801","69,278","69,595","69,939",Troup
"Georgia, Turner",Georgia,Turner,"Georgia, Turner",9475,9512,9514,9407,9310,9245,9133,9111,9029,8900,"8,910","8,940","8,445","8,206","8,066","7,982","7,944",Turner
"Georgia, Twiggs",Georgia,Twiggs,"Georgia, Twiggs",10556,10418,10503,10461,10266,9978,9715,9545,9442,9257,"8,973","8,827","8,552","8,516","8,392","8,347","8,249",Twiggs
"Georgia, Union",Georgia,Union,"Georgia, Union",17398,17822,18349,19018,19378,19856,20460,20988,21285,21338,"21,370","21,252","21,328","21,424","21,764","22,007","22,640",Union
"Georgia, Upson",Georgia,Upson,"Georgia, Upson",27746,27788,27624,27648,27514,27440,27349,27423,27321,27360,"27,054","26,920","26,562","26,421","26,161","26,231","26,245",Upson
"Georgia, Walker",Georgia,Walker,"Georgia, Walker",61268,62109,62841,63478,64228,65160,66343,67405,68103,68612,"68,870","68,801","68,452","68,594","68,659","68,537","68,455",Walker
"Georgia, Walton",Georgia,Walton,"Georgia, Walton",61413,63847,66103,68161,70334,73696,77057,80440,82602,83353,"83,992","84,630","84,975","86,041","87,526","88,333","89,786",Walton
"Georgia, Ware",Georgia,Ware,"Georgia, Ware",35421,35426,35203,35222,34991,35011,35624,36016,36065,35985,"36,308","36,274","35,893","35,743","35,513","35,327","35,648",Ware
"Georgia, Warren",Georgia,Warren,"Georgia, Warren",6275,6356,6270,6229,6195,6153,6038,5981,5942,5914,"5,782","5,677","5,544","5,518","5,458","5,374","5,345",Warren
"Georgia, Washington",Georgia,Washington,"Georgia, Washington",21188,21170,21000,21110,21088,20155,20805,21155,21202,21240,"21,093","20,969","20,790","20,573","20,548","20,736","20,347",Washington
"Georgia, Wayne",Georgia,Wayne,"Georgia, Wayne",26596,26888,27308,27860,28227,28522,28929,29421,30042,30016,"30,074","30,294","30,320","29,990","29,891","29,430","29,974",Wayne
"Georgia, Webster",Georgia,Webster,"Georgia, Webster",2398,2369,2389,2488,2549,2576,2630,2735,2710,2772,"2,781","2,764","2,765","2,669","2,611","2,631","2,616",Webster
"Georgia, Wheeler",Georgia,Wheeler,"Georgia, Wheeler",6174,6697,6584,6576,6500,6701,6954,6918,7018,7150,"7,769","8,079","7,933","7,935","7,984","7,911","8,015",Wheeler
"Georgia, White",Georgia,White,"Georgia, White",20186,21124,22281,23178,24015,24690,25575,26173,26626,26949,"27,203","27,401","27,626","27,830","28,021","28,387","28,828",White
"Georgia, Whitfield",Georgia,Whitfield,"Georgia, Whitfield",84222,86332,88041,89478,91842,94162,96408,98654,100546,101009,"102,745","102,920","102,948","102,728","103,083","103,669","104,406",Whitfield
"Georgia, Wilcox",Georgia,Wilcox,"Georgia, Wilcox",8632,8868,8766,8837,8882,8789,8868,8889,9023,9156,"9,314","9,252","9,074","9,061","8,937","9,024","8,841",Wilcox
"Georgia, Wilkes",Georgia,Wilkes,"Georgia, Wilkes",10694,10658,10695,10736,10613,10553,10586,10524,10630,10571,"10,388","10,229","10,086","9,920","9,949","9,911","9,809",Wilkes
"Georgia, Wilkinson",Georgia,Wilkinson,"Georgia, Wilkinson",10193,10227,10126,10040,9968,9881,9793,9750,9691,9652,"9,529","9,416","9,484","9,363","9,284","9,080","9,020",Wilkinson
"Georgia, Worth",Georgia,Worth,"Georgia, Worth",21983,22019,21873,21874,21873,21670,21783,21646,21701,21799,"21,692","21,512","21,349","21,052","21,006","20,688","20,703",Worth
