year,state,state_code,county,candidate,party,candidate_votes,total_votes
2004,Alabama,AL,Autauga,John Kerry,democrat,4758.0,20081
2004,Alabama,AL,Autauga,George W. Bush,republican,15196.0,20081
2004,Alabama,AL,Baldwin,John Kerry,democrat,15599.0,69320
2004,Alabama,AL,Baldwin,George W. Bush,republican,52971.0,69320
2004,Alabama,AL,Barbour,John Kerry,democrat,4832.0,10777
2004,Alabama,AL,Barbour,George W. Bush,republican,5899.0,10777
2004,Alabama,AL,Bibb,John Kerry,democrat,2089.0,7600
2004,Alabama,AL,Bibb,George W. Bush,republican,5472.0,7600
2004,Alabama,AL,Blount,John Kerry,democrat,3938.0,21504
2004,Alabama,AL,Blount,George W. Bush,republican,17386.0,21504
2004,Alabama,AL,Bullock,John Kerry,democrat,3210.0,4717
2004,Alabama,AL,Bullock,George W. Bush,republican,1494.0,4717
2004,Alabama,AL,Butler,John Kerry,democrat,3413.0,8416
2004,Alabama,AL,Butler,George W. Bush,republican,4979.0,8416
2004,Alabama,AL,Calhoun,John Kerry,democrat,15083.0,45249
2004,Alabama,AL,Calhoun,George W. Bush,republican,29814.0,45249
2004,Alabama,AL,Chambers,John Kerry,democrat,5347.0,13032
2004,Alabama,AL,Chambers,George W. Bush,republican,7622.0,13032
2004,Alabama,AL,Cherokee,John Kerry,democrat,3040.0,9049
2004,Alabama,AL,Cherokee,George W. Bush,republican,5923.0,9049
2004,Alabama,AL,Chilton,John Kerry,democrat,3778.0,16693
2004,Alabama,AL,Chilton,George W. Bush,republican,12829.0,16693
2004,Alabama,AL,Choctaw,John Kerry,democrat,3303.0,7227
2004,Alabama,AL,Choctaw,George W. Bush,republican,3897.0,7227
2004,Alabama,AL,Clarke,John Kerry,democrat,4627.0,11394
2004,Alabama,AL,Clarke,George W. Bush,republican,6730.0,11394
2004,Alabama,AL,Clay,John Kerry,democrat,1893.0,6576
2004,Alabama,AL,Clay,George W. Bush,republican,4624.0,6576
2004,Alabama,AL,Cleburne,John Kerry,democrat,1391.0,5798
2004,Alabama,AL,Cleburne,George W. Bush,republican,4370.0,5798
2004,Alabama,AL,Coffee,John Kerry,democrat,4480.0,17616
2004,Alabama,AL,Coffee,George W. Bush,republican,13019.0,17616
2004,Alabama,AL,Colbert,John Kerry,democrat,10598.0,23935
2004,Alabama,AL,Colbert,George W. Bush,republican,13188.0,23935
2004,Alabama,AL,Conecuh,John Kerry,democrat,2719.0,6021
2004,Alabama,AL,Conecuh,George W. Bush,republican,3271.0,6021
2004,Alabama,AL,Coosa,John Kerry,democrat,2055.0,5001
2004,Alabama,AL,Coosa,George W. Bush,republican,2905.0,5001
2004,Alabama,AL,Covington,John Kerry,democrat,3423.0,14627
2004,Alabama,AL,Covington,George W. Bush,republican,11119.0,14627
2004,Alabama,AL,Crenshaw,John Kerry,democrat,1698.0,5500
2004,Alabama,AL,Crenshaw,George W. Bush,republican,3777.0,5500
2004,Alabama,AL,Cullman,John Kerry,democrat,8045.0,35191
2004,Alabama,AL,Cullman,George W. Bush,republican,26818.0,35191
2004,Alabama,AL,Dale,John Kerry,democrat,4484.0,18231
2004,Alabama,AL,Dale,George W. Bush,republican,13621.0,18231
2004,Alabama,AL,Dallas,John Kerry,democrat,11175.0,18573
2004,Alabama,AL,Dallas,George W. Bush,republican,7335.0,18573
2004,Alabama,AL,DeKalb,John Kerry,democrat,7092.0,24135
2004,Alabama,AL,DeKalb,George W. Bush,republican,16904.0,24135
2004,Alabama,AL,Elmore,John Kerry,democrat,6471.0,28680
2004,Alabama,AL,Elmore,George W. Bush,republican,22056.0,28680
2004,Alabama,AL,Escambia,John Kerry,democrat,3814.0,12395
2004,Alabama,AL,Escambia,George W. Bush,republican,8513.0,12395
2004,Alabama,AL,Etowah,John Kerry,democrat,15328.0,42680
2004,Alabama,AL,Etowah,George W. Bush,republican,26999.0,42680
2004,Alabama,AL,Fayette,John Kerry,democrat,2408.0,8002
2004,Alabama,AL,Fayette,George W. Bush,republican,5534.0,8002
2004,Alabama,AL,Franklin,John Kerry,democrat,4514.0,12269
2004,Alabama,AL,Franklin,George W. Bush,republican,7690.0,12269
2004,Alabama,AL,Geneva,John Kerry,democrat,2113.0,10520
2004,Alabama,AL,Geneva,George W. Bush,republican,8342.0,10520
2004,Alabama,AL,Greene,John Kerry,democrat,3764.0,4748
2004,Alabama,AL,Greene,George W. Bush,republican,958.0,4748
2004,Alabama,AL,Hale,John Kerry,democrat,4631.0,7945
2004,Alabama,AL,Hale,George W. Bush,republican,3281.0,7945
2004,Alabama,AL,Henry,John Kerry,democrat,2452.0,7361
2004,Alabama,AL,Henry,George W. Bush,republican,4881.0,7361
2004,Alabama,AL,Houston,John Kerry,democrat,9144.0,36201
2004,Alabama,AL,Houston,George W. Bush,republican,26874.0,36201
2004,Alabama,AL,Jackson,John Kerry,democrat,8635.0,20321
2004,Alabama,AL,Jackson,George W. Bush,republican,11534.0,20321
2004,Alabama,AL,Jefferson,John Kerry,democrat,132286.0,292967
2004,Alabama,AL,Jefferson,George W. Bush,republican,158680.0,292967
2004,Alabama,AL,Lamar,John Kerry,democrat,1956.0,6885
2004,Alabama,AL,Lamar,George W. Bush,republican,4894.0,6885
2004,Alabama,AL,Lauderdale,John Kerry,democrat,14628.0,37107
2004,Alabama,AL,Lauderdale,George W. Bush,republican,22161.0,37107
2004,Alabama,AL,Lawrence,John Kerry,democrat,6155.0,14001
2004,Alabama,AL,Lawrence,George W. Bush,republican,7730.0,14001
2004,Alabama,AL,Lee,John Kerry,democrat,16227.0,44610
2004,Alabama,AL,Lee,George W. Bush,republican,27972.0,44610
2004,Alabama,AL,Limestone,John Kerry,democrat,9126.0,29073
2004,Alabama,AL,Limestone,George W. Bush,republican,19702.0,29073
2004,Alabama,AL,Lowndes,John Kerry,democrat,4233.0,6021
2004,Alabama,AL,Lowndes,George W. Bush,republican,1786.0,6021
2004,Alabama,AL,Macon,John Kerry,democrat,7800.0,9407
2004,Alabama,AL,Macon,George W. Bush,republican,1570.0,9407
2004,Alabama,AL,Madison,John Kerry,democrat,52644.0,131062
2004,Alabama,AL,Madison,George W. Bush,republican,77173.0,131062
2004,Alabama,AL,Marengo,John Kerry,democrat,5037.0,10322
2004,Alabama,AL,Marengo,George W. Bush,republican,5255.0,10322
2004,Alabama,AL,Marion,John Kerry,democrat,3808.0,12875
2004,Alabama,AL,Marion,George W. Bush,republican,8983.0,12875
2004,Alabama,AL,Marshall,John Kerry,democrat,8452.0,31491
2004,Alabama,AL,Marshall,George W. Bush,republican,22783.0,31491
2004,Alabama,AL,Mobile,John Kerry,democrat,63732.0,156771
2004,Alabama,AL,Mobile,George W. Bush,republican,92014.0,156771
2004,Alabama,AL,Monroe,John Kerry,democrat,3666.0,9534
2004,Alabama,AL,Monroe,George W. Bush,republican,5831.0,9534
2004,Alabama,AL,Montgomery,John Kerry,democrat,45160.0,89650
2004,Alabama,AL,Montgomery,George W. Bush,republican,44097.0,89650
2004,Alabama,AL,Morgan,John Kerry,democrat,14131.0,47007
