year,state,state_po,county,FIPS,office,candidate,party,candidatevotes,totalvotes,version
2000,Alabama,AL,Coosa,1037.0,President,George W. Bush,republican,2382.0,4567,20191203
2000,Alabama,AL,Coosa,1037.0,President,Ralph Nader,green,34.0,4567,20191203
2000,Alabama,AL,Coosa,1037.0,President,Other,,47.0,4567,20191203
2000,Alabama,AL,Covington,1039.0,President,Al Gore,democrat,4440.0,13613,20191203
2000,Alabama,AL,Covington,1039.0,President,George W. Bush,republican,8961.0,13613,20191203
2000,Alabama,AL,Covington,1039.0,President,Ralph Nader,green,123.0,13613,20191203
2000,Alabama,AL,Covington,1039.0,President,Other,,89.0,13613,20191203
2000,Alabama,AL,Crenshaw,1041.0,President,Al Gore,democrat,1934.0,4795,20191203
2000,Alabama,AL,Crenshaw,1041.0,President,George W. Bush,republican,2793.0,4795,20191203
2000,Alabama,AL,Crenshaw,1041.0,President,Ralph Nader,green,40.0,4795,20191203
2000,Alabama,AL,Crenshaw,1041.0,President,Other,,28.0,4795,20191203
2000,Alabama,AL,Cullman,1043.0,President,Al Gore,democrat,9758.0,29525,20191203
2000,Alabama,AL,Cullman,1043.0,President,George W. Bush,republican,19157.0,29525,20191203
2000,Alabama,AL,Cullman,1043.0,President,Ralph Nader,green,282.0,29525,20191203
2000,Alabama,AL,Cullman,1043.0,President,Other,,328.0,29525,20191203
2000,Alabama,AL,Dale,1045.0,President,Al Gore,democrat,4906.0,15806,20191203
2000,Alabama,AL,Dale,1045.0,President,George W. Bush,republican,10593.0,15806,20191203
2000,Alabama,AL,Dale,1045.0,President,Ralph Nader,green,188.0,15806,20191203
2000,Alabama,AL,Dale,1045.0,President,Other,,119.0,15806,20191203
2000,Alabama,AL,Dallas,1047.0,President,Al Gore,democrat,10967.0,18464,20191203
2000,Alabama,AL,Dallas,1047.0,President,George W. Bush,republican,7360.0,18464,20191203
2000,Alabama,AL,Dallas,1047.0,President,Ralph Nader,green,63.0,18464,20191203
2000,Alabama,AL,Dallas,1047.0,President,Other,,74.0,18464,20191203
2000,Alabama,AL,DeKalb,1049.0,President,Al Gore,democrat,7056.0,20285,20191203
2000,Alabama,AL,DeKalb,1049.0,President,George W. Bush,republican,12827.0,20285,20191203
2000,Alabama,AL,DeKalb,1049.0,President,Ralph Nader,green,175.0,20285,20191203
2000,Alabama,AL,DeKalb,1049.0,President,Other,,227.0,20285,20191203
2000,Alabama,AL,Elmore,1051.0,President,Al Gore,democrat,6652.0,23804,20191203
2000,Alabama,AL,Elmore,1051.0,President,George W. Bush,republican,16777.0,23804,20191203
2000,Alabama,AL,Elmore,1051.0,President,Ralph Nader,green,212.0,23804,20191203
2000,Alabama,AL,Elmore,1051.0,President,Other,,163.0,23804,20191203
2000,Alabama,AL,Escambia,1053.0,President,Al Gore,democrat,4523.0,11660,20191203
2000,Alabama,AL,Escambia,1053.0,President,George W. Bush,republican,6975.0,11660,20191203
2000,Alabama,AL,Escambia,1053.0,President,Ralph Nader,green,78.0,11660,20191203
2000,Alabama,AL,Escambia,1053.0,President,Other,,84.0,11660,20191203
2000,Alabama,AL,Etowah,1055.0,President,Al Gore,democrat,17433.0,39348,20191203
2000,Alabama,AL,Etowah,1055.0,President,George W. Bush,republican,21087.0,39348,20191203
2000,Alabama,AL,Etowah,1055.0,President,Ralph Nader,green,435.0,39348,20191203
2000,Alabama,AL,Etowah,1055.0,President,Other,,393.0,39348,20191203
2000,Alabama,AL,Fayette,1057.0,President,Al Gore,democrat,3064.0,7808,20191203
2000,Alabama,AL,Fayette,1057.0,President,George W. Bush,republican,4582.0,7808,20191203
2000,Alabama,AL,Fayette,1057.0,President,Ralph Nader,green,60.0,7808,20191203
2000,Alabama,AL,Fayette,1057.0,President,Other,,102.0,7808,20191203
2000,Alabama,AL,Franklin,1059.0,President,Al Gore,democrat,4793.0,11103,20191203
2000,Alabama,AL,Franklin,1059.0,President,George W. Bush,republican,6119.0,11103,20191203
2000,Alabama,AL,Franklin,1059.0,President,Ralph Nader,green,72.0,11103,20191203
2000,Alabama,AL,Franklin,1059.0,President,Other,,119.0,11103,20191203
2000,Alabama,AL,Geneva,1061.0,President,Al Gore,democrat,2769.0,9559,20191203
2000,Alabama,AL,Geneva,1061.0,President,George W. Bush,republican,6588.0,9559,20191203
2000,Alabama,AL,Geneva,1061.0,President,Ralph Nader,green,97.0,9559,20191203
2000,Alabama,AL,Geneva,1061.0,President,Other,,105.0,9559,20191203
2000,Alabama,AL,Greene,1063.0,President,Al Gore,democrat,3504.0,4396,20191203
2000,Alabama,AL,Greene,1063.0,President,George W. Bush,republican,850.0,4396,20191203
2000,Alabama,AL,Greene,1063.0,President,Ralph Nader,green,24.0,4396,20191203
2000,Alabama,AL,Greene,1063.0,President,Other,,18.0,4396,20191203
2000,Alabama,AL,Hale,1065.0,President,Al Gore,democrat,4652.0,7731,20191203
2000,Alabama,AL,Hale,1065.0,President,George W. Bush,republican,2984.0,7731,20191203
2000,Alabama,AL,Hale,1065.0,President,Ralph Nader,green,43.0,7731,20191203
2000,Alabama,AL,Hale,1065.0,President,Other,,52.0,7731,20191203
2000,Alabama,AL,Henry,1067.0,President,Al Gore,democrat,2782.0,6932,20191203
2000,Alabama,AL,Henry,1067.0,President,George W. Bush,republican,4054.0,6932,20191203
2000,Alabama,AL,Henry,1067.0,President,Ralph Nader,green,48.0,6932,20191203
2000,Alabama,AL,Henry,1067.0,President,Other,,48.0,6932,20191203
2000,Alabama,AL,Houston,1069.0,President,Al Gore,democrat,9412.0,32057,20191203
2000,Alabama,AL,Houston,1069.0,President,George W. Bush,republican,22150.0,32057,20191203
2000,Alabama,AL,Houston,1069.0,President,Ralph Nader,green,257.0,32057,20191203
2000,Alabama,AL,Houston,1069.0,President,Other,,238.0,32057,20191203
2000,Alabama,AL,Jackson,1071.0,President,Al Gore,democrat,9066.0,17906,20191203
2000,Alabama,AL,Jackson,1071.0,President,George W. Bush,republican,8475.0,17906,20191203
2000,Alabama,AL,Jackson,1071.0,President,Ralph Nader,green,184.0,17906,20191203
2000,Alabama,AL,Jackson,1071.0,President,Other,,181.0,17906,20191203
2000,Alabama,AL,Jefferson,1073.0,President,Al Gore,democrat,129889.0,273763,20191203
2000,Alabama,AL,Jefferson,1073.0,President,George W. Bush,republican,138491.0,273763,20191203
2000,Alabama,AL,Jefferson,1073.0,President,Ralph Nader,green,3393.0,273763,20191203
2000,Alabama,AL,Jefferson,1073.0,President,Other,,1990.0,273763,20191203
2000,Alabama,AL,Lamar,1075.0,President,Al Gore,democrat,2653.0,7249,20191203
2000,Alabama,AL,Lamar,1075.0,President,George W. Bush,republican,4470.0,7249,20191203
2000,Alabama,AL,Lamar,1075.0,President,Ralph Nader,green,57.0,7249,20191203
2000,Alabama,AL,Lamar,1075.0,President,Other,,69.0,7249,20191203
2000,Alabama,AL,Lauderdale,1077.0,President,Al Gore,democrat,13875.0,32137,20191203
2000,Alabama,AL,Lauderdale,1077.0,President,George W. Bush,republican,17478.0,32137,20191203
2000,Alabama,AL,Lauderdale,1077.0,President,Ralph Nader,green,354.0,32137,20191203
2000,Alabama,AL,Lauderdale,1077.0,President,Other,,430.0,32137,20191203
2000,Alabama,AL,Lawrence,1079.0,President,Al Gore,democrat,6296.0,12185,20191203
2000,Alabama,AL,Lawrence,1079.0,President,George W. Bush,republican,5671.0,12185,20191203
2000,Alabama,AL,Lawrence,1079.0,President,Ralph Nader,green,63.0,12185,20191203
2000,Alabama,AL,Lawrence,1079.0,President,Other,,155.0,12185,20191203
2000,Alabama,AL,Lee,1081.0,President,Al Gore,democrat,14574.0,38264,20191203
2000,Alabama,AL,Lee,1081.0,President,George W. Bush,republican,22433.0,38264,20191203
2000,Alabama,AL,Lee,1081.0,President,Ralph Nader,green,895.0,38264,20191203
2000,Alabama,AL,Lee,1081.0,President,Other,,362.0,38264,20191203
2000,Alabama,AL,Limestone,1083.0,President,Al Gore,democrat,8992.0,23634,20191203
2000,Alabama,AL,Limestone,1083.0,President,George W. Bush,republican,14204.0,23634,20191203
2000,Alabama,AL,Limestone,1083.0,President,Ralph Nader,green,193.0,23634,20191203
2000,Alabama,AL,Limestone,1083.0,President,Other,,245.0,23634,20191203
2000,Alabama,AL,Lowndes,1085.0,President,Al Gore,democrat,4557.0,6243,20191203
2000,Alabama,AL,Lowndes,1085.0,President,George W. Bush,republican,1638.0,6243,20191203
2000,Alabama,AL,Lowndes,1085.0,President,Ralph Nader,green,18.0,6243,20191203
2000,Alabama,AL,Lowndes,1085.0,President,Other,,30.0,6243,20191203
2000,Alabama,AL,Macon,1087.0,President,Al Gore,democrat,7665.0,8831,20191203
2000,Alabama,AL,Macon,1087.0,President,George W. Bush,republican,1091.0,8831,20191203
2000,Alabama,AL,Macon,1087.0,President,Ralph Nader,green,31.0,8831,20191203
2000,Alabama,AL,Macon,1087.0,President,Other,,44.0,8831,20191203
2000,Alabama,AL,Madison,1089.0,President,Al Gore,democrat,48199.0,113318,20191203
2000,Alabama,AL,Madison,1089.0,President,George W. Bush,republican,62151.0,113318,20191203
2000,Alabama,AL,Madison,1089.0,President,Ralph Nader,green,1885.0,113318,20191203
2000,Alabama,AL,Madison,1089.0,President,Other,,1083.0,113318,20191203
2000,Alabama,AL,Marengo,1091.0,President,Al Gore,democrat,4841.0,9608,20191203
2000,Alabama,AL,Marengo,1091.0,President,George W. Bush,republican,4690.0,9608,20191203
2000,Alabama,AL,Marengo,1091.0,President,Ralph Nader,green,40.0,9608,20191203
2000,Alabama,AL,Marengo,1091.0,President,Other,,37.0,9608,20191203
2000,Alabama,AL,Marion,1093.0,President,Al Gore,democrat,4600.0,11756,20191203
2000,Alabama,AL,Marion,1093.0,President,George W. Bush,republican,6910.0,11756,20191203
2000,Alabama,AL,Marion,1093.0,President,Ralph Nader,green,125.0,11756,20191203
2000,Alabama,AL,Marion,1093.0,President,Other,,121.0,11756,20191203
2000,Alabama,AL,Marshall,1095.0,President,Al Gore,democrat,10381.0,27989,20191203
2000,Alabama,AL,Marshall,1095.0,President,George W. Bush,republican,17084.0,27989,20191203
2000,Alabama,AL,Marshall,1095.0,President,Ralph Nader,green,256.0,27989,20191203
2000,Alabama,AL,Marshall,1095.0,President,Other,,268.0,27989,20191203
2000,Alabama,AL,Mobile,1097.0,President,Al Gore,democrat,58640.0,139745,20191203
2000,Alabama,AL,Mobile,1097.0,President,George W. Bush,republican,78162.0,139745,20191203
2000,Alabama,AL,Mobile,1097.0,President,Ralph Nader,green,1585.0,139745,20191203
2000,Alabama,AL,Mobile,1097.0,President,Other,,1358.0,139745,20191203
2000,Alabama,AL,Monroe,1099.0,President,Al Gore,democrat,3741.0,8951,20191203
2000,Alabama,AL,Monroe,1099.0,President,George W. Bush,republican,5153.0,8951,20191203
2000,Alabama,AL,Monroe,1099.0,President,Ralph Nader,green,25.0,8951,20191203
2000,Alabama,AL,Monroe,1099.0,President,Other,,32.0,8951,20191203
2000,Alabama,AL,Montgomery,1101.0,President,Al Gore,democrat,40371.0,80328,20191203
2000,Alabama,AL,Montgomery,1101.0,President,George W. Bush,republican,38827.0,80328,20191203
2000,Alabama,AL,Montgomery,1101.0,President,Ralph Nader,green,677.0,80328,20191203
2000,Alabama,AL,Montgomery,1101.0,President,Other,,453.0,80328,20191203
2000,Alabama,AL,Morgan,1103.0,President,Al Gore,democrat,16060.0,42681,20191203
2000,Alabama,AL,Morgan,1103.0,President,George W. Bush,republican,25774.0,42681,20191203
2000,Alabama,AL,Morgan,1103.0,President,Ralph Nader,green,450.0,42681,20191203
2000,Alabama,AL,Morgan,1103.0,President,Other,,397.0,42681,20191203
2000,Alabama,AL,Perry,1105.0,President,Al Gore,democrat,4020.0,5787,20191203
2000,Alabama,AL,Perry,1105.0,President,George W. Bush,republican,1732.0,5787,20191203
2000,Alabama,AL,Perry,1105.0,President,Ralph Nader,green,18.0,5787,20191203
2000,Alabama,AL,Perry,1105.0,President,Other,,17.0,5787,20191203
2000,Alabama,AL,Pickens,1107.0,President,Al Gore,democrat,4143.0,8540,20191203
2000,Alabama,AL,Pickens,1107.0,President,George W. Bush,republican,4306.0,8540,20191203
2000,Alabama,AL,Pickens,1107.0,President,Ralph Nader,green,39.0,8540,20191203
2000,Alabama,AL,Pickens,1107.0,President,Other,,52.0,8540,20191203
2000,Alabama,AL,Pike,1109.0,President,Al Gore,democrat,4357.0,10544,20191203
2000,Alabama,AL,Pike,1109.0,President,George W. Bush,republican,6058.0,10544,20191203
2000,Alabama,AL,Pike,1109.0,President,Ralph Nader,green,75.0,10544,20191203
2000,Alabama,AL,Pike,1109.0,President,Other,,54.0,10544,20191203
2000,Alabama,AL,Randolph,1111.0,President,Al Gore,democrat,3094.0,7919,20191203
2000,Alabama,AL,Randolph,1111.0,President,George W. Bush,republican,4666.0,7919,20191203
2000,Alabama,AL,Randolph,1111.0,President,Ralph Nader,green,60.0,7919,20191203
2000,Alabama,AL,Randolph,1111.0,President,Other,,99.0,7919,20191203
2000,Alabama,AL,Russell,1113.0,President,Al Gore,democrat,8396.0,14775,20191203
2000,Alabama,AL,Russell,1113.0,President,George W. Bush,republican,6198.0,14775,20191203
2000,Alabama,AL,Russell,1113.0,President,Ralph Nader,green,109.0,14775,20191203
2000,Alabama,AL,Russell,1113.0,President,Other,,72.0,14775,20191203
2000,Alabama,AL,St. Clair,1115.0,President,Al Gore,democrat,6485.0,24090,20191203
2000,Alabama,AL,St. Clair,1115.0,President,George W. Bush,republican,17117.0,24090,20191203
2000,Alabama,AL,St. Clair,1115.0,President,Ralph Nader,green,221.0,24090,20191203
2000,Alabama,AL,St. Clair,1115.0,President,Other,,267.0,24090,20191203
2000,Alabama,AL,Shelby,1117.0,President,Al Gore,democrat,13183.0,62128,20191203
2000,Alabama,AL,Shelby,1117.0,President,George W. Bush,republican,47651.0,62128,20191203
2000,Alabama,AL,Shelby,1117.0,President,Ralph Nader,green,812.0,62128,20191203
2000,Alabama,AL,Shelby,1117.0,President,Other,,482.0,62128,20191203
2000,Alabama,AL,Sumter,1119.0,President,Al Gore,democrat,4415.0,6088,20191203
2000,Alabama,AL,Sumter,1119.0,President,George W. Bush,republican,1629.0,6088,20191203
2000,Alabama,AL,Sumter,1119.0,President,Ralph Nader,green,20.0,6088,20191203
2000,Alabama,AL,Sumter,1119.0,President,Other,,24.0,6088,20191203
2000,Alabama,AL,Talladega,1121.0,President,Al Gore,democrat,11264.0,25451,20191203
2000,Alabama,AL,Talladega,1121.0,President,George W. Bush,republican,13807.0,25451,20191203
2000,Alabama,AL,Talladega,1121.0,President,Ralph Nader,green,184.0,25451,20191203
2000,Alabama,AL,Talladega,1121.0,President,Other,,196.0,25451,20191203
2000,Alabama,AL,Tallapoosa,1123.0,President,Al Gore,democrat,6183.0,16253,20191203
2000,Alabama,AL,Tallapoosa,1123.0,President,George W. Bush,republican,9805.0,16253,20191203
2000,Alabama,AL,Tallapoosa,1123.0,President,Ralph Nader,green,153.0,16253,20191203
2000,Alabama,AL,Tallapoosa,1123.0,President,Other,,112.0,16253,20191203
2000,Alabama,AL,Tuscaloosa,1125.0,President,Al Gore,democrat,24614.0,60114,20191203
2000,Alabama,AL,Tuscaloosa,1125.0,President,George W. Bush,republican,34003.0,60114,20191203
2000,Alabama,AL,Tuscaloosa,1125.0,President,Ralph Nader,green,1007.0,60114,20191203
2000,Alabama,AL,Tuscaloosa,1125.0,President,Other,,490.0,60114,20191203
2000,Alabama,AL,Walker,1127.0,President,Al Gore,democrat,11621.0,25641,20191203
2000,Alabama,AL,Walker,1127.0,President,George W. Bush,republican,13486.0,25641,20191203
2000,Alabama,AL,Walker,1127.0,President,Ralph Nader,green,264.0,25641,20191203
2000,Alabama,AL,Walker,1127.0,President,Other,,270.0,25641,20191203
2000,Alabama,AL,Washington,1129.0,President,Al Gore,democrat,3386.0,7596,20191203
2000,Alabama,AL,Washington,1129.0,President,George W. Bush,republican,4117.0,7596,20191203
2000,Alabama,AL,Washington,1129.0,President,Ralph Nader,green,26.0,7596,20191203
2000,Alabama,AL,Washington,1129.0,President,Other,,67.0,7596,20191203
2000,Alabama,AL,Wilcox,1131.0,President,Al Gore,democrat,3444.0,5126,20191203
2000,Alabama,AL,Wilcox,1131.0,President,George W. Bush,republican,1661.0,5126,20191203
2000,Alabama,AL,Wilcox,1131.0,President,Ralph Nader,green,6.0,5126,20191203
2000,Alabama,AL,Wilcox,1131.0,President,Other,,15.0,5126,20191203
2000,Alabama,AL,Winston,1133.0,President,Al Gore,democrat,2692.0,9318,20191203
2000,Alabama,AL,Winston,1133.0,President,George W. Bush,republican,6413.0,9318,20191203
2000,Alabama,AL,Winston,1133.0,President,Ralph Nader,green,88.0,9318,20191203
2000,Alabama,AL,Winston,1133.0,President,Other,,125.0,9318,20191203
2000,Arizona,AZ,Apache,4001.0,President,Al Gore,democrat,13025.0,19456,20191203
2000,Arizona,AZ,Apache,4001.0,President,George W. Bush,republican,5947.0,19456,20191203
2000,Arizona,AZ,Apache,4001.0,President,Ralph Nader,green,245.0,19456,20191203
2000,Arizona,AZ,Apache,4001.0,President,Other,,239.0,19456,20191203
2000,Arizona,AZ,Cochise,4003.0,President,Al Gore,democrat,13360.0,33241,20191203
2000,Arizona,AZ,Cochise,4003.0,President,George W. Bush,republican,18180.0,33241,20191203
2000,Arizona,AZ,Cochise,4003.0,President,Ralph Nader,green,1113.0,33241,20191203
2000,Arizona,AZ,Cochise,4003.0,President,Other,,588.0,33241,20191203
2000,Arizona,AZ,Coconino,4005.0,President,Al Gore,democrat,20280.0,40883,20191203
2000,Arizona,AZ,Coconino,4005.0,President,George W. Bush,republican,17562.0,40883,20191203
2000,Arizona,AZ,Coconino,4005.0,President,Ralph Nader,green,2478.0,40883,20191203
2000,Arizona,AZ,Coconino,4005.0,President,Other,,563.0,40883,20191203
2000,Arizona,AZ,Gila,4007.0,President,Al Gore,democrat,7700.0,17736,20191203
2000,Arizona,AZ,Gila,4007.0,President,George W. Bush,republican,9158.0,17736,20191203
2000,Arizona,AZ,Gila,4007.0,President,Ralph Nader,green,497.0,17736,20191203
2000,Arizona,AZ,Gila,4007.0,President,Other,,381.0,17736,20191203
2000,Arizona,AZ,Graham,4009.0,President,Al Gore,democrat,3355.0,9664,20191203
2000,Arizona,AZ,Graham,4009.0,President,George W. Bush,republican,6007.0,9664,20191203
2000,Arizona,AZ,Graham,4009.0,President,Ralph Nader,green,144.0,9664,20191203
2000,Arizona,AZ,Graham,4009.0,President,Other,,158.0,9664,20191203
2000,Arizona,AZ,Greenlee,4011.0,President,Al Gore,democrat,1216.0,2960,20191203
2000,Arizona,AZ,Greenlee,4011.0,President,George W. Bush,republican,1619.0,2960,20191203
2000,Arizona,AZ,Greenlee,4011.0,President,Ralph Nader,green,68.0,2960,20191203
2000,Arizona,AZ,Greenlee,4011.0,President,Other,,57.0,2960,20191203
2000,Arizona,AZ,La Paz,4012.0,President,Al Gore,democrat,1769.0,4483,20191203
2000,Arizona,AZ,La Paz,4012.0,President,George W. Bush,republican,2543.0,4483,20191203
2000,Arizona,AZ,La Paz,4012.0,President,Ralph Nader,green,91.0,4483,20191203
2000,Arizona,AZ,La Paz,4012.0,President,Other,,80.0,4483,20191203
2000,Arizona,AZ,Maricopa,4013.0,President,Al Gore,democrat,386683.0,901699,20191203
2000,Arizona,AZ,Maricopa,4013.0,President,George W. Bush,republican,479967.0,901699,20191203
2000,Arizona,AZ,Maricopa,4013.0,President,Ralph Nader,green,22465.0,901699,20191203
2000,Arizona,AZ,Maricopa,4013.0,President,Other,,12584.0,901699,20191203
2000,Arizona,AZ,Mohave,4015.0,President,Al Gore,democrat,17470.0,44141,20191203
2000,Arizona,AZ,Mohave,4015.0,President,George W. Bush,republican,24386.0,44141,20191203
2000,Arizona,AZ,Mohave,4015.0,President,Ralph Nader,green,1323.0,44141,20191203
2000,Arizona,AZ,Mohave,4015.0,President,Other,,962.0,44141,20191203
2000,Arizona,AZ,Navajo,4017.0,President,Al Gore,democrat,11794.0,25147,20191203
2000,Arizona,AZ,Navajo,4017.0,President,George W. Bush,republican,12386.0,25147,20191203
2000,Arizona,AZ,Navajo,4017.0,President,Ralph Nader,green,517.0,25147,20191203
2000,Arizona,AZ,Navajo,4017.0,President,Other,,450.0,25147,20191203
2000,Arizona,AZ,Pima,4019.0,President,Al Gore,democrat,147688.0,287640,20191203
2000,Arizona,AZ,Pima,4019.0,President,George W. Bush,republican,124579.0,287640,20191203
2000,Arizona,AZ,Pima,4019.0,President,Ralph Nader,green,12355.0,287640,20191203
2000,Arizona,AZ,Pima,4019.0,President,Other,,3018.0,287640,20191203
2000,Arizona,AZ,Pinal,4021.0,President,Al Gore,democrat,19650.0,41290,20191203
2000,Arizona,AZ,Pinal,4021.0,President,George W. Bush,republican,20122.0,41290,20191203
2000,Arizona,AZ,Pinal,4021.0,President,Ralph Nader,green,904.0,41290,20191203
2000,Arizona,AZ,Pinal,4021.0,President,Other,,614.0,41290,20191203
2000,Arizona,AZ,Santa Cruz,4023.0,President,Al Gore,democrat,5233.0,8893,20191203
2000,Arizona,AZ,Santa Cruz,4023.0,President,George W. Bush,republican,3344.0,8893,20191203
2000,Arizona,AZ,Santa Cruz,4023.0,President,Ralph Nader,green,217.0,8893,20191203
2000,Arizona,AZ,Santa Cruz,4023.0,President,Other,,99.0,8893,20191203
2000,Arizona,AZ,Yavapai,4025.0,President,Al Gore,democrat,24063.0,68228,20191203
