year,state,state_code,county,candidate,party,candidate_votes,total_votes
2016,Alabama,AL,Madison,Donald Trump,republican,89520.0,163389
2016,Alabama,AL,Marengo,Hillary Clinton,democrat,5615.0,10994
2016,Alabama,AL,Marengo,Donald Trump,republican,5233.0,10994
2016,Alabama,AL,Marion,Hillary Clinton,democrat,1432.0,12984
2016,Alabama,AL,Marion,Donald Trump,republican,11274.0,12984
2016,Alabama,AL,Marshall,Hillary Clinton,democrat,4917.0,35316
2016,Alabama,AL,Marshall,Donald Trump,republican,29233.0,35316
2016,Alabama,AL,Mobile,Hillary Clinton,democrat,72186.0,172737
2016,Alabama,AL,Mobile,Donald Trump,republican,95116.0,172737
2016,Alabama,AL,Monroe,Hillary Clinton,democrat,4332.0,10271
2016,Alabama,AL,Monroe,Donald Trump,republican,5795.0,10271
2016,Alabama,AL,Montgomery,Hillary Clinton,democrat,58916.0,95878
2016,Alabama,AL,Montgomery,Donald Trump,republican,34003.0,95878
2016,Alabama,AL,Morgan,Hillary Clinton,democrat,11254.0,50644
2016,Alabama,AL,Morgan,Donald Trump,republican,37486.0,50644
2016,Alabama,AL,Perry,Hillary Clinton,democrat,3824.0,5278
2016,Alabama,AL,Perry,Donald Trump,republican,1407.0,5278
2016,Alabama,AL,Pickens,Hillary Clinton,democrat,3972.0,9542
2016,Alabama,AL,Pickens,Donald Trump,republican,5456.0,9542
2016,Alabama,AL,Pike,Hillary Clinton,democrat,5056.0,13168
2016,Alabama,AL,Pike,Donald Trump,republican,7693.0,13168
2016,Alabama,AL,Randolph,Hillary Clinton,democrat,2291.0,10187
2016,Alabama,AL,Randolph,Donald Trump,republican,7705.0,10187
2016,Alabama,AL,Russell,Hillary Clinton,democrat,9579.0,19256
2016,Alabama,AL,Russell,Donald Trump,republican,9210.0,19256
2016,Alabama,AL,St. Clair,Hillary Clinton,democrat,5589.0,38400
2016,Alabama,AL,St. Clair,Donald Trump,republican,31651.0,38400
2016,Alabama,AL,Shelby,Hillary Clinton,democrat,22977.0,101254
2016,Alabama,AL,Shelby,Donald Trump,republican,73020.0,101254
2016,Alabama,AL,Sumter,Hillary Clinton,democrat,4746.0,6411
2016,Alabama,AL,Sumter,Donald Trump,republican,1581.0,6411
2016,Alabama,AL,Talladega,Hillary Clinton,democrat,12121.0,33407
2016,Alabama,AL,Talladega,Donald Trump,republican,20614.0,33407
2016,Alabama,AL,Tallapoosa,Hillary Clinton,democrat,5519.0,19486
2016,Alabama,AL,Tallapoosa,Donald Trump,republican,13594.0,19486
2016,Alabama,AL,Tuscaloosa,Hillary Clinton,democrat,31762.0,82700
2016,Alabama,AL,Tuscaloosa,Donald Trump,republican,47723.0,82700
2016,Alabama,AL,Walker,Hillary Clinton,democrat,4497.0,29472
2016,Alabama,AL,Walker,Donald Trump,republican,24266.0,29472
2016,Alabama,AL,Washington,Hillary Clinton,democrat,2374.0,8533
2016,Alabama,AL,Washington,Donald Trump,republican,6042.0,8533
2016,Alabama,AL,Wilcox,Hillary Clinton,democrat,4339.0,6118
2016,Alabama,AL,Wilcox,Donald Trump,republican,1737.0,6118
2016,Alabama,AL,Winston,Hillary Clinton,democrat,872.0,10313
2016,Alabama,AL,Winston,Donald Trump,republican,9228.0,10313
2016,Arizona,AZ,Apache,Hillary Clinton,democrat,17083.0,27661
2016,Arizona,AZ,Apache,Donald Trump,republican,8240.0,27661
2016,Arizona,AZ,Cochise,Hillary Clinton,democrat,17450.0,50015
2016,Arizona,AZ,Cochise,Donald Trump,republican,28092.0,50015
2016,Arizona,AZ,Coconino,Hillary Clinton,democrat,32404.0,59784
2016,Arizona,AZ,Coconino,Donald Trump,republican,21108.0,59784
2016,Arizona,AZ,Gila,Hillary Clinton,democrat,7003.0,36697
2016,Arizona,AZ,Gila,Donald Trump,republican,14182.0,36697
2016,Arizona,AZ,Graham,Hillary Clinton,democrat,3301.0,20306
2016,Arizona,AZ,Graham,Donald Trump,republican,8025.0,20306
2016,Arizona,AZ,Greenlee,Hillary Clinton,democrat,1092.0,5192
2016,Arizona,AZ,Greenlee,Donald Trump,republican,1892.0,5192
2016,Arizona,AZ,La Paz,Hillary Clinton,democrat,1575.0,5951
2016,Arizona,AZ,La Paz,Donald Trump,republican,4003.0,5951
2016,Arizona,AZ,Maricopa,Hillary Clinton,democrat,702907.0,1567834
2016,Arizona,AZ,Maricopa,Donald Trump,republican,747361.0,1567834
2016,Arizona,AZ,Mohave,Hillary Clinton,democrat,17455.0,79943
2016,Arizona,AZ,Mohave,Donald Trump,republican,58282.0,79943
2016,Arizona,AZ,Navajo,Hillary Clinton,democrat,16459.0,40294
2016,Arizona,AZ,Navajo,Donald Trump,republican,20577.0,40294
2016,Arizona,AZ,Pima,Hillary Clinton,democrat,224661.0,421640
2016,Arizona,AZ,Pima,Donald Trump,republican,167428.0,421640
2016,Arizona,AZ,Pinal,Hillary Clinton,democrat,47892.0,129546
2016,Arizona,AZ,Pinal,Donald Trump,republican,72819.0,129546
2016,Arizona,AZ,Santa Cruz,Hillary Clinton,democrat,11690.0,16433
2016,Arizona,AZ,Santa Cruz,Donald Trump,republican,3897.0,16433
2016,Arizona,AZ,Yavapai,Hillary Clinton,democrat,35590.0,114450
2016,Arizona,AZ,Yavapai,Donald Trump,republican,71330.0,114450
2016,Arizona,AZ,Yuma,Hillary Clinton,democrat,24605.0,53010
2016,Arizona,AZ,Yuma,Donald Trump,republican,25165.0,53010
2016,Arkansas,AR,Arkansas,Hillary Clinton,democrat,1939.0,6212
2016,Arkansas,AR,Arkansas,Donald Trump,republican,3826.0,6212
2016,Arkansas,AR,Ashley,Hillary Clinton,democrat,2408.0,8083
2016,Arkansas,AR,Ashley,Donald Trump,republican,5338.0,8083
2016,Arkansas,AR,Baxter,Hillary Clinton,democrat,4169.0,19766
2016,Arkansas,AR,Baxter,Donald Trump,republican,14682.0,19766
2016,Arkansas,AR,Benton,Hillary Clinton,democrat,28005.0,96824
2016,Arkansas,AR,Benton,Donald Trump,republican,60871.0,96824
2016,Arkansas,AR,Boone,Hillary Clinton,democrat,2926.0,16111
2016,Arkansas,AR,Boone,Donald Trump,republican,12235.0,16111
2016,Arkansas,AR,Bradley,Hillary Clinton,democrat,1317.0,3653
2016,Arkansas,AR,Bradley,Donald Trump,republican,2164.0,3653
2016,Arkansas,AR,Calhoun,Hillary Clinton,democrat,639.0,2269
2016,Arkansas,AR,Calhoun,Donald Trump,republican,1556.0,2269
2016,Arkansas,AR,Carroll,Hillary Clinton,democrat,3342.0,10758
2016,Arkansas,AR,Carroll,Donald Trump,republican,6786.0,10758
2016,Arkansas,AR,Chicot,Hillary Clinton,democrat,2350.0,4176
2016,Arkansas,AR,Chicot,Donald Trump,republican,1716.0,4176
2016,Arkansas,AR,Clark,Hillary Clinton,democrat,3620.0,8526
2016,Arkansas,AR,Clark,Donald Trump,republican,4404.0,8526
2016,Arkansas,AR,Clay,Hillary Clinton,democrat,1199.0,5200
2016,Arkansas,AR,Clay,Donald Trump,republican,3781.0,5200
2016,Arkansas,AR,Cleburne,Hillary Clinton,democrat,2101.0,12085
2016,Arkansas,AR,Cleburne,Donald Trump,republican,9458.0,12085
2016,Arkansas,AR,Cleveland,Hillary Clinton,democrat,723.0,3354
2016,Arkansas,AR,Cleveland,Donald Trump,republican,2462.0,3354
2016,Arkansas,AR,Columbia,Hillary Clinton,democrat,3140.0,8887
2016,Arkansas,AR,Columbia,Donald Trump,republican,5456.0,8887
2016,Arkansas,AR,Conway,Hillary Clinton,democrat,2656.0,7927
2016,Arkansas,AR,Conway,Donald Trump,republican,4849.0,7927
2016,Arkansas,AR,Craighead,Hillary Clinton,democrat,10538.0,35573
2016,Arkansas,AR,Craighead,Donald Trump,republican,22892.0,35573
2016,Arkansas,AR,Crawford,Hillary Clinton,democrat,4488.0,22450
2016,Arkansas,AR,Crawford,Donald Trump,republican,16686.0,22450
2016,Arkansas,AR,Crittenden,Hillary Clinton,democrat,8410.0,15952
2016,Arkansas,AR,Crittenden,Donald Trump,republican,6964.0,15952
2016,Arkansas,AR,Cross,Hillary Clinton,democrat,1999.0,6874
2016,Arkansas,AR,Cross,Donald Trump,republican,4584.0,6874
2016,Arkansas,AR,Dallas,Hillary Clinton,democrat,1165.0,2771
2016,Arkansas,AR,Dallas,Donald Trump,republican,1509.0,2771
2016,Arkansas,AR,Desha,Hillary Clinton,democrat,2228.0,4257
2016,Arkansas,AR,Desha,Donald Trump,republican,1919.0,4257
2016,Arkansas,AR,Drew,Hillary Clinton,democrat,2365.0,6595
2016,Arkansas,AR,Drew,Donald Trump,republican,3968.0,6595
2016,Arkansas,AR,Faulkner,Hillary Clinton,democrat,14629.0,47527
2016,Arkansas,AR,Faulkner,Donald Trump,republican,29346.0,47527
2016,Arkansas,AR,Franklin,Hillary Clinton,democrat,1376.0,6770
2016,Arkansas,AR,Franklin,Donald Trump,republican,5039.0,6770
2016,Arkansas,AR,Fulton,Hillary Clinton,democrat,1067.0,4772
2016,Arkansas,AR,Fulton,Donald Trump,republican,3471.0,4772
2016,Arkansas,AR,Garland,Hillary Clinton,democrat,12311.0,40805
2016,Arkansas,AR,Garland,Donald Trump,republican,26087.0,40805
2016,Arkansas,AR,Grant,Hillary Clinton,democrat,1373.0,7445
2016,Arkansas,AR,Grant,Donald Trump,republican,5725.0,7445
2016,Arkansas,AR,Greene,Hillary Clinton,democrat,3071.0,14600
2016,Arkansas,AR,Greene,Donald Trump,republican,10720.0,14600
2016,Arkansas,AR,Hempstead,Hillary Clinton,democrat,2377.0,7049
2016,Arkansas,AR,Hempstead,Donald Trump,republican,4401.0,7049
2016,Arkansas,AR,Hot Spring,Hillary Clinton,democrat,3149.0,11944
2016,Arkansas,AR,Hot Spring,Donald Trump,republican,8172.0,11944
2016,Arkansas,AR,Howard,Hillary Clinton,democrat,1351.0,4674
2016,Arkansas,AR,Howard,Donald Trump,republican,3157.0,4674
2016,Arkansas,AR,Independence,Hillary Clinton,democrat,2881.0,13614
2016,Arkansas,AR,Independence,Donald Trump,republican,9936.0,13614
2016,Arkansas,AR,Izard,Hillary Clinton,democrat,1113.0,5448
2016,Arkansas,AR,Izard,Donald Trump,republican,4042.0,5448
2016,Arkansas,AR,Jackson,Hillary Clinton,democrat,1583.0,5156
2016,Arkansas,AR,Jackson,Donald Trump,republican,3267.0,5156
2016,Arkansas,AR,Jefferson,Hillary Clinton,democrat,15772.0,25894
2016,Arkansas,AR,Jefferson,Donald Trump,republican,9250.0,25894
2016,Arkansas,AR,Johnson,Hillary Clinton,democrat,2427.0,9112
2016,Arkansas,AR,Johnson,Donald Trump,republican,6091.0,9112
2016,Arkansas,AR,Lafayette,Hillary Clinton,democrat,1032.0,2860
2016,Arkansas,AR,Lafayette,Donald Trump,republican,1758.0,2860
2016,Arkansas,AR,Lawrence,Hillary Clinton,democrat,1263.0,5685
2016,Arkansas,AR,Lawrence,Donald Trump,republican,4064.0,5685
2016,Arkansas,AR,Lee,Hillary Clinton,democrat,1735.0,3026
2016,Arkansas,AR,Lee,Donald Trump,republican,1229.0,3026
2016,Arkansas,AR,Lincoln,Hillary Clinton,democrat,1252.0,3826
2016,Arkansas,AR,Lincoln,Donald Trump,republican,2455.0,3826
2016,Arkansas,AR,Little River,Hillary Clinton,democrat,1397.0,5227
2016,Arkansas,AR,Little River,Donald Trump,republican,3605.0,5227
2016,Arkansas,AR,Logan,Hillary Clinton,democrat,1715.0,7921
2016,Arkansas,AR,Logan,Donald Trump,republican,5746.0,7921
2016,Arkansas,AR,Lonoke,Hillary Clinton,democrat,5664.0,27100
2016,Arkansas,AR,Lonoke,Donald Trump,republican,19958.0,27100
2016,Arkansas,AR,Madison,Hillary Clinton,democrat,1588.0,6841
2016,Arkansas,AR,Madison,Donald Trump,republican,4928.0,6841
2016,Arkansas,AR,Marion,Hillary Clinton,democrat,1434.0,7107
2016,Arkansas,AR,Marion,Donald Trump,republican,5336.0,7107
2016,Arkansas,AR,Miller,Hillary Clinton,democrat,4273.0,16091
2016,Arkansas,AR,Miller,Donald Trump,republican,11294.0,16091
2016,Arkansas,AR,Mississippi,Hillary Clinton,democrat,5670.0,13204
2016,Arkansas,AR,Mississippi,Donald Trump,republican,7061.0,13204
2016,Arkansas,AR,Monroe,Hillary Clinton,democrat,1312.0,2884
2016,Arkansas,AR,Monroe,Donald Trump,republican,1489.0,2884
2016,Arkansas,AR,Montgomery,Hillary Clinton,democrat,748.0,3559
2016,Arkansas,AR,Montgomery,Donald Trump,republican,2643.0,3559
2016,Arkansas,AR,Nevada,Hillary Clinton,democrat,1157.0,3246
2016,Arkansas,AR,Nevada,Donald Trump,republican,2000.0,3246
2016,Arkansas,AR,Newton,Hillary Clinton,democrat,699.0,3753
2016,Arkansas,AR,Newton,Donald Trump,republican,2875.0,3753
2016,Arkansas,AR,Ouachita,Hillary Clinton,democrat,4321.0,9935
2016,Arkansas,AR,Ouachita,Donald Trump,republican,5351.0,9935
2016,Arkansas,AR,Perry,Hillary Clinton,democrat,1049.0,4306
2016,Arkansas,AR,Perry,Donald Trump,republican,3008.0,4306
2016,Arkansas,AR,Phillips,Hillary Clinton,democrat,4310.0,6953
2016,Arkansas,AR,Phillips,Donald Trump,republican,2446.0,6953
2016,Arkansas,AR,Pike,Hillary Clinton,democrat,685.0,3981
2016,Arkansas,AR,Pike,Donald Trump,republican,3150.0,3981
2016,Arkansas,AR,Poinsett,Hillary Clinton,democrat,1880.0,7722
2016,Arkansas,AR,Poinsett,Donald Trump,republican,5502.0,7722
2016,Arkansas,AR,Polk,Hillary Clinton,democrat,1212.0,8231
2016,Arkansas,AR,Polk,Donald Trump,republican,6618.0,8231
2016,Arkansas,AR,Pope,Hillary Clinton,democrat,5000.0,22569
2016,Arkansas,AR,Pope,Donald Trump,republican,16256.0,22569
2016,Arkansas,AR,Prairie,Hillary Clinton,democrat,814.0,3444
2016,Arkansas,AR,Prairie,Donald Trump,republican,2505.0,3444
2016,Arkansas,AR,Pulaski,Hillary Clinton,democrat,89574.0,159776
2016,Arkansas,AR,Pulaski,Donald Trump,republican,61257.0,159776
2016,Arkansas,AR,Randolph,Hillary Clinton,democrat,1425.0,6379
2016,Arkansas,AR,Randolph,Donald Trump,republican,4509.0,6379
2016,Arkansas,AR,St. Francis,Hillary Clinton,democrat,4031.0,7430
2016,Arkansas,AR,St. Francis,Donald Trump,republican,3195.0,7430
2016,Arkansas,AR,Saline,Hillary Clinton,democrat,13256.0,52100
2016,Arkansas,AR,Saline,Donald Trump,republican,35863.0,52100
2016,Arkansas,AR,Scott,Hillary Clinton,democrat,602.0,3510
2016,Arkansas,AR,Scott,Donald Trump,republican,2731.0,3510
2016,Arkansas,AR,Searcy,Hillary Clinton,democrat,601.0,3728
2016,Arkansas,AR,Searcy,Donald Trump,republican,2955.0,3728
2016,Arkansas,AR,Sebastian,Hillary Clinton,democrat,12300.0,44637
2016,Arkansas,AR,Sebastian,Donald Trump,republican,29127.0,44637
2016,Arkansas,AR,Sevier,Hillary Clinton,democrat,1075.0,4562
2016,Arkansas,AR,Sevier,Donald Trump,republican,3282.0,4562
2016,Arkansas,AR,Sharp,Hillary Clinton,democrat,1472.0,7249
2016,Arkansas,AR,Sharp,Donald Trump,republican,5407.0,7249
2016,Arkansas,AR,Stone,Hillary Clinton,democrat,1203.0,5618
2016,Arkansas,AR,Stone,Donald Trump,republican,4113.0,5618
2016,Arkansas,AR,Union,Hillary Clinton,democrat,5855.0,16894
2016,Arkansas,AR,Union,Donald Trump,republican,10456.0,16894
2016,Arkansas,AR,Van Buren,Hillary Clinton,democrat,1549.0,7339
2016,Arkansas,AR,Van Buren,Donald Trump,republican,5382.0,7339
2016,Arkansas,AR,Washington,Hillary Clinton,democrat,33366.0,81861
2016,Arkansas,AR,Washington,Donald Trump,republican,41476.0,81861
2016,Arkansas,AR,White,Hillary Clinton,democrat,5170.0,27219
2016,Arkansas,AR,White,Donald Trump,republican,21077.0,27219
2016,Arkansas,AR,Woodruff,Hillary Clinton,democrat,1118.0,2571
2016,Arkansas,AR,Woodruff,Donald Trump,republican,1347.0,2571
2016,Arkansas,AR,Yell,Hillary Clinton,democrat,1480.0,6439
2016,Arkansas,AR,Yell,Donald Trump,republican,4608.0,6439
2016,California,CA,Alameda,Hillary Clinton,democrat,514842.0,654266
2016,California,CA,Alameda,Donald Trump,republican,95922.0,654266
2016,California,CA,Alpine,Hillary Clinton,democrat,334.0,602
2016,California,CA,Alpine,Donald Trump,republican,217.0,602
2016,California,CA,Amador,Hillary Clinton,democrat,6004.0,17734
2016,California,CA,Amador,Donald Trump,republican,10485.0,17734
2016,California,CA,Butte,Hillary Clinton,democrat,41567.0,95564
2016,California,CA,Butte,Donald Trump,republican,45144.0,95564
2016,California,CA,Calaveras,Hillary Clinton,democrat,7944.0,23136
2016,California,CA,Calaveras,Donald Trump,republican,13511.0,23136
2016,California,CA,Colusa,Hillary Clinton,democrat,2661.0,6632
2016,California,CA,Colusa,Donald Trump,republican,3551.0,6632
2016,California,CA,Contra Costa,Hillary Clinton,democrat,319287.0,466175
2016,California,CA,Contra Costa,Donald Trump,republican,115956.0,466175
2016,California,CA,Del Norte,Hillary Clinton,democrat,3485.0,9558
2016,California,CA,Del Norte,Donald Trump,republican,5134.0,9558
2016,California,CA,El Dorado,Hillary Clinton,democrat,36404.0,93591
2016,California,CA,El Dorado,Donald Trump,republican,49247.0,93591
2016,California,CA,Fresno,Hillary Clinton,democrat,141341.0,282319
2016,California,CA,Fresno,Donald Trump,republican,124049.0,282319
2016,California,CA,Glenn,Hillary Clinton,democrat,3065.0,9470
2016,California,CA,Glenn,Donald Trump,republican,5788.0,9470
2016,California,CA,Humboldt,Hillary Clinton,democrat,33200.0,59246
2016,California,CA,Humboldt,Donald Trump,republican,18373.0,59246
2016,California,CA,Imperial,Hillary Clinton,democrat,32667.0,48091
2016,California,CA,Imperial,Donald Trump,republican,12704.0,48091
2016,California,CA,Inyo,Hillary Clinton,democrat,3155.0,8086
2016,California,CA,Inyo,Donald Trump,republican,4248.0,8086
2016,California,CA,Kern,Hillary Clinton,democrat,98689.0,244163
2016,California,CA,Kern,Donald Trump,republican,129584.0,244163
2016,California,CA,Kings,Hillary Clinton,democrat,13617.0,33915
2016,California,CA,Kings,Donald Trump,republican,18093.0,33915
2016,California,CA,Lake,Hillary Clinton,democrat,11496.0,24496
2016,California,CA,Lake,Donald Trump,republican,10599.0,24496
2016,California,CA,Lassen,Hillary Clinton,democrat,2224.0,10524
2016,California,CA,Lassen,Donald Trump,republican,7574.0,10524
2016,California,CA,Los Angeles,Hillary Clinton,democrat,2464364.0,3434308
2016,California,CA,Los Angeles,Donald Trump,republican,769743.0,3434308
2016,California,CA,Madera,Hillary Clinton,democrat,17029.0,43112
2016,California,CA,Madera,Donald Trump,republican,23357.0,43112
2016,California,CA,Marin,Hillary Clinton,democrat,108707.0,139273
2016,California,CA,Marin,Donald Trump,republican,21771.0,139273
2016,California,CA,Mariposa,Hillary Clinton,democrat,3122.0,8877
2016,California,CA,Mariposa,Donald Trump,republican,5185.0,8877
2016,California,CA,Mendocino,Hillary Clinton,democrat,22079.0,37477
2016,California,CA,Mendocino,Donald Trump,republican,10888.0,37477
2016,California,CA,Merced,Hillary Clinton,democrat,37317.0,70789
2016,California,CA,Merced,Donald Trump,republican,28725.0,70789
2016,California,CA,Modoc,Hillary Clinton,democrat,877.0,3788
2016,California,CA,Modoc,Donald Trump,republican,2696.0,3788
2016,California,CA,Mono,Hillary Clinton,democrat,2773.0,5276
2016,California,CA,Mono,Donald Trump,republican,2111.0,5276
2016,California,CA,Monterey,Hillary Clinton,democrat,89088.0,133408
2016,California,CA,Monterey,Donald Trump,republican,34895.0,133408
2016,California,CA,Napa,Hillary Clinton,democrat,39199.0,61372
2016,California,CA,Napa,Donald Trump,republican,17411.0,61372
2016,California,CA,Nevada,Hillary Clinton,democrat,26053.0,54935
2016,California,CA,Nevada,Donald Trump,republican,23365.0,54935
2016,California,CA,Orange,Hillary Clinton,democrat,609961.0,1197521
2016,California,CA,Orange,Donald Trump,republican,507148.0,1197521
2016,California,CA,Placer,Hillary Clinton,democrat,73509.0,182839
2016,California,CA,Placer,Donald Trump,republican,95138.0,182839
2016,California,CA,Plumas,Hillary Clinton,democrat,3459.0,9676
2016,California,CA,Plumas,Donald Trump,republican,5420.0,9676
2016,California,CA,Riverside,Hillary Clinton,democrat,373695.0,751391
2016,California,CA,Riverside,Donald Trump,republican,333243.0,751391
2016,California,CA,Sacramento,Hillary Clinton,democrat,326023.0,559330
2016,California,CA,Sacramento,Donald Trump,republican,189789.0,559330
2016,California,CA,San Benito,Hillary Clinton,democrat,12521.0,21924
2016,California,CA,San Benito,Donald Trump,republican,7841.0,21924
2016,California,CA,San Bernardino,Hillary Clinton,democrat,340833.0,653983
2016,California,CA,San Bernardino,Donald Trump,republican,271240.0,653983
2016,California,CA,San Diego,Hillary Clinton,democrat,735476.0,1306400
2016,California,CA,San Diego,Donald Trump,republican,477766.0,1306400
2016,California,CA,San Francisco,Hillary Clinton,democrat,345084.0,405792
2016,California,CA,San Francisco,Donald Trump,republican,37688.0,405792
2016,California,CA,San Joaquin,Hillary Clinton,democrat,121124.0,224166
2016,California,CA,San Joaquin,Donald Trump,republican,88936.0,224166
2016,California,CA,San Luis Obispo,Hillary Clinton,democrat,67107.0,135009
2016,California,CA,San Luis Obispo,Donald Trump,republican,56164.0,135009
